nan	0.8255258	0.8986194	2.038736	2.658212	nan	0.5161384	3.5806690000000003	nan
OG0000112.0	OG0006978.0	OG0000047.282	OG0011224.0	OG0000011.866	OG0005764.0	OG0005145.0	OG0005107.4	OG0000015.1
0.9729732	215.4471	3.909817	0.7111385	nan	0.5696366999999999	2.131974	9.580309	nan
OG0004678.12	OG0000923.0	OG0000009.921	OG0000334.9	OG0005940.0	OG0012769.0	OG0013541.2	OG0005299.0	OG0000071.0
12.362639999999999	1.8671220000000002	nan	1.265232	2.1774419999999997	nan	nan	8.106142	nan
OG0011605.0	OG0000045.0	OG0000228.54	OG0000196.0	OG0006118.4	OG0003695.0	OG0002447.0	OG0005495.0	OG0000007.3
8.092193	nan	0.515786	0.8986194	5.469681	1.372678	2.6901450000000002	6.010638	nan
OG0004942.0	OG0000112.0	OG0005939.0	OG0000002.1788	OG0005115.3	OG0000435.0	OG0005088.0	OG0000007.3
10.89668	0.9729732	2.2197810000000002	nan	1.565688	1.409416	0.7238014	nan
OG0004971.4	OG0000009.921	OG0011499.1	OG0000239.0	OG0000060.0	OG0003505.8	OG0005870.0	OG0000435.0	OG0012210.0
5.691696	nan	2.212567	nan	nan	1.453855	nan	1.409416	3.479511
OG0007615.6	OG0005947.0	OG0004749.2	OG0004970.0	OG0000192.0	OG0005115.3	OG0000074.152	OG0000035.64	OG0000013.2
nan	218.9816	1.099265	10.375869999999999	3.8632519999999997	1.565688	1.598608	nan	nan
OG0000486.2	OG0005643.0	OG0000001.425	OG0000032.252	OG0000169.16	OG0006500.0	OG0003880.0	OG0005764.0	OG0009237.0
2.731414	3.7910559999999998	nan	nan	1.320063	218.7299	nan	0.5696366999999999	0.7030225
OG0000018.842	OG0005936.0	OG0000000.3460	OG0000047.282	OG0003568.0	OG0006980.0	OG0010101.0	OG0000001.1420	OG0006444.0
2.682202	2.1852650000000002	nan	3.909817	1.417956	215.90900000000002	1.346325	nan	5.5504050000000005
OG0005686.0	OG0006708.0	OG0000015.773	OG0000026.45	OG0000090.24	OG0008066.0	OG0006389.4	OG0006418.0	OG0000442.2
3.3007760000000004	223.0686	nan	nan	1.567615	2.990618	6.042633	9.499102	4.111063
OG0003502.3	OG0000027.457	OG0000176.0	OG0007584.0	OG0006370.4	OG0000192.0	OG0004957.0	OG0000200.0	OG0005447.3
7.154696	nan	nan	nan	3.841685	3.8632519999999997	nan	1.051104	5.571809
OG0000054.0	OG0009978.0	OG0000429.0	OG0006744.1	OG0001608.24	OG0000001.425	OG0000074.152	OG0002577.26	OG0006474.4
nan	1.8250119999999999	4.577324	2.724663	0.7927951	nan	1.598608	2.024321	9.43061
OG0000099.0	OG0005986.4	OG0006790.0	OG0000139.0	OG0001710.24	OG0000026.45	OG0005097.2	OG0010513.2	OG0000442.2
nan	214.459	3.098879	3.153003	1.490841	nan	1.9418389999999999	3.3985199999999995	4.111063
OG0003584.16	OG0003514.0	OG0000018.842	OG0013132.4	OG0008562.0	OG0000011.1	OG0000074.152	OG0000105.0	OG0004977.0
5.347451	4.385952	2.682202	1.356403	2.317566	nan	1.598608	nan	1.559956
OG0004966.0	OG0000710.0	OG0007761.3	OG0000032.252	OG0000187.1	OG0004128.4	OG0000102.0	OG0012093.2	OG0003198.2
19.43522	9.025097	0.7058227	nan	nan	0.31734270000000003	nan	226.0138	5.656714
OG0000923.0	OG0008277.0	OG0000056.0	OG0001981.2	OG0005153.1	OG0005463.3	OG0000139.0	OG0011434.0	OG0000015.1
1.8671220000000002	nan	nan	nan	7.555855	5.690017	3.153003	nan	nan
OG0010779.2	OG0000027.457	OG0006566.0	OG0006082.0	OG0000169.16	OG0001557.1	OG0004569.0	OG0000043.242	OG0006143.2
2.615805	nan	221.7532	5.59743	1.320063	21.40628	0.8936914	nan	6.6701820000000005
OG0000018.842	OG0011211.0	OG0000486.2	OG0000039.0	OG0005229.4	OG0000015.773	OG0002991.24	OG0003614.8	OG0015351.0
2.682202	0.6474976	2.731414	nan	9.104336	nan	10.3782	6.696791999999999	1.322646
OG0000027.457	OG0006298.0	OG0000177.8	OG0005940.0	OG0004453.2	OG0005212.2	OG0003247.1	OG0000121.128	OG0000105.0
nan	nan	5.586796	2.1774419999999997	19.607770000000002	2.1819029999999997	1.883648	3.155518	nan
OG0000265.0	OG0000112.0	OG0000995.122	OG0005841.2	OG0000056.0	OG0003526.0	OG0007389.9	OG0000710.0	OG0007546.0
nan	0.9729732	1.8502290000000001	8.959255	nan	1.51644	1.413864	9.025097	3.006128
OG0005431.0	OG0000142.14	OG0005109.6	OG0007221.2	OG0000710.0	OG0003169.0	OG0000032.252	OG0006632.0	OG0000119.0
nan	4.598162	5.687236	2.503477	9.025097	0.43743540000000003	nan	218.9676	nan
OG0002858.1	OG0003645.1	OG0006142.4	OG0005740.24	OG0000032.252	OG0000169.16	OG0001557.1	OG0000119.0	OG0004579.2
2.464279	21.64815	5.259028	215.8353	nan	1.320063	21.40628	nan	19.87698
OG0011287.3	OG0005460.0	OG0000177.8	OG0008459.10	OG0003833.22	OG0000121.128	OG0003800.0	OG0000035.64	OG0000011.866
223.8923	9.47669	5.586796	3.4584040000000003	1.014525	3.155518	4.2289650000000005	nan	nan
OG0000027.457	OG0005882.2	OG0006250.0	OG0000000.3460	OG0000192.0	OG0000435.0	OG0005827.2	OG0004987.26	OG0005917.0
nan	3.867064	212.8008	nan	3.8632519999999997	1.409416	7.546742999999999	1.085432	5.101096
OG0004737.6	OG0005738.2	OG0000000.3460	OG0000139.0	OG0005817.0	OG0000200.0	OG0000026.45	OG0005105.0	OG0008989.0
7.181531	218.9481	nan	3.153003	2.71408	1.051104	nan	19.97309	0.7186448000000001
OG0000027.457	OG0000334.9	OG0000010.64	OG0007753.0	OG0000047.282	OG0004479.1	OG0000009.1514	OG0003614.8
nan	1.265232	nan	9.764974	3.909817	1.509516	1.882125	6.696791999999999
OG0000575.28	OG0008512.0	OG0012068.2	OG0000109.0	OG0000132.40	OG0000018.289	OG0002453.0	OG0006383.0	OG0006875.0
218.6506	1.192854	225.7291	nan	nan	nan	nan	4.509278	6.300184
OG0000054.0	OG0013081.0	OG0003635.0	OG0000142.14	OG0000015.773	OG0000435.0	OG0006416.0	OG0006417.0	OG0008149.4
nan	2.17286	2.13646	4.598162	nan	1.409416	nan	9.304538	0.5679397
OG0000010.64	OG0000228.54	OG0005071.2	OG0005463.3	OG0000169.16	OG0004536.0	OG0000006.561	OG0006244.2	OG0004579.2
nan	0.515786	10.055	5.690017	1.320063	1.498107	nan	216.2762	19.87698
OG0002869.0	OG0004576.6	OG0004605.20	OG0011439.2	OG0001557.1	OG0000026.45	OG0000090.24	OG0012983.0	OG0000105.0
10.21038	2.842235	102.9473	2.003948	21.40628	nan	1.567615	2.456475	nan
OG0000177.8	OG0013634.0	OG0000099.0	OG0002711.15	OG0003991.2	OG0005918.2	OG0010781.2	OG0000121.128	OG0000001.1420
5.586796	1.361143	nan	2.772996	1.012053	5.085091	2.6387970000000003	3.155518	nan
OG0004677.10	OG0000054.0	OG0006775.18	OG0005718.0	OG0000177.8	OG0004494.1	OG0000435.0	OG0004499.0	OG0000102.0
0.8237665000000001	nan	3.5148019999999995	213.945	5.586796	nan	1.409416	3.7580050000000003	nan
OG0000027.457	OG0000923.0	OG0007119.0	OG0004329.0	OG0005663.12	OG0003795.5	OG0000429.0	OG0000116.0	OG0011197.2
nan	1.8671220000000002	1.614462	0.48329929999999993	5.036853	10.63342	4.577324	nan	nan
OG0000012.918	OG0006123.2	OG0007462.4	OG0000269.0	OG0001981.2	OG0000710.0	OG0004784.0	OG0000090.24	OG0003593.0
nan	5.6090800000000005	nan	nan	nan	9.025097	20.11076	1.567615	nan
OG0015300.0	OG0000239.0	OG0011434.0	OG0000121.128	OG0000010.475	OG0005904.2	OG0004840.3	OG0006844.0	OG0000015.1
1.0907959999999999	nan	nan	3.155518	nan	5.6017589999999995	nan	3.61439	nan
OG0005437.0	OG0005460.0	OG0000177.8	OG0003722.24	OG0000075.0	OG0000032.252	OG0007054.1	OG0014583.3	OG0000442.2
4.009812	9.47669	5.586796	3.7134519999999998	nan	nan	0.7204111	2.15808	4.111063
OG0005891.2	OG0006108.0	OG0004810.0	OG0000121.128	OG0000169.16	OG0000015.773	OG0004632.0	OG0005097.2	OG0000013.2
115.2785	2.974082	9.050097000000001	3.155518	1.320063	nan	20.4724	1.9418389999999999	nan
OG0005686.0	OG0000045.0	OG0008459.10	OG0006696.0	OG0004957.0	OG0000074.152	OG0000043.242	OG0000350.8	OG0005827.2
3.3007760000000004	nan	3.4584040000000003	211.5182	nan	1.598608	nan	1.404703	7.546742999999999
OG0003121.6	OG0005109.6	OG0000349.0	OG0004254.44	OG0000435.0	OG0000026.45	OG0005904.2	OG0000116.0
nan	5.687236	2.254695	2.614009	1.409416	nan	5.6017589999999995	nan
OG0003068.0	OG0000018.842	OG0000109.0	OG0006370.4	OG0000007.976	OG0001986.24	OG0004580.6	OG0000119.0	OG0007653.0
0.6497236	2.682202	nan	3.841685	nan	1.4465569999999999	19.298820000000003	nan	216.9407
OG0005841.2	OG0004453.2	OG0000056.0	OG0000421.45	OG0000060.0	OG0003800.0	OG0006356.1	OG0001557.1	OG0000090.24
8.959255	19.607770000000002	nan	1.587141	nan	4.2289650000000005	nan	21.40628	1.567615
OG0005047.0	OG0000112.0	OG0000018.289	OG0005463.3	OG0000307.20	OG0012118.4	OG0003278.0	OG0000105.0	OG0003696.0
3.024633	0.9729732	nan	5.690017	0.5161384	222.7324	3.671294	nan	0.5513148
OG0000012.918	OG0003316.28	OG0004323.9	OG0000000.3460	OG0003505.8	OG0000004.846	OG0000169.16	OG0000200.0	OG0004571.0
nan	21.87077	1.133055	nan	1.453855	nan	1.320063	1.051104	nan
OG0012134.2	OG0000310.18	OG0000007.976	OG0005495.0	OG0000060.0	OG0004239.0	OG0006417.0	OG0001601.50	OG0000442.2
227.8835	nan	nan	6.010638	nan	2.022675	9.304538	1.30574	4.111063
OG0011461.0	OG0002964.14	OG0000177.8	OG0000018.289	OG0005918.2	OG0014066.4	OG0006877.0	OG0000200.0	OG0000102.0
2.87722	0.6373076	5.586796	nan	5.085091	2.2164900000000003	nan	1.051104	nan
OG0000486.2	OG0007190.6	OG0000139.0	OG0000002.1788	OG0003800.0	OG0006877.0	OG0005889.4	OG0000127.0
2.731414	1.199846	3.153003	nan	4.2289650000000005	nan	9.333548	nan
OG0006920.0	OG0006461.4	OG0005223.0	OG0000139.0	OG0000002.1788	OG0006064.22	OG0000121.128	OG0000035.64	OG0002869.0
222.8933	5.0453589999999995	9.021463	3.153003	nan	0.7089595000000001	3.155518	nan	10.21038
OG0000177.8	OG0000010.64	OG0005514.0	OG0000039.0	OG0005269.0	OG0003400.52	OG0002765.0	OG0000121.128	OG0003732.8
5.586796	nan	173.4892	nan	10.51318	3.533211	0.41506040000000005	3.155518	2.015177
OG0003385.20	OG0000039.0	OG0003991.2	OG0000307.20	OG0000192.0	OG0012882.0	OG0003588.2	OG0007712.0	OG0000075.0
0.4380478	nan	1.012053	0.5161384	3.8632519999999997	225.6692	96.15433	9.595708	nan
OG0000054.0	OG0008596.4	OG0000018.842	OG0000099.0	OG0003831.0	OG0006418.0	OG0000047.282	OG0009022.8	OG0004975.0
nan	2.476644	2.682202	nan	3.7581010000000004	9.499102	3.909817	227.0422	9.483305999999999
OG0004971.4	OG0000109.0	OG0003635.0	OG0005891.2	OG0000056.0	OG0000000.3460	OG0000245.24	OG0007540.0	OG0010639.2
5.691696	nan	2.13646	115.2785	nan	nan	nan	1.503039	2.8904400000000003
OG0002485.15	OG0007361.1	OG0000269.0	OG0005109.6	OG0000002.1788	OG0015371.0	OG0001557.1	OG0000350.8	OG0003820.20
1.593847	2.101299	nan	5.687236	nan	1.360934	21.40628	1.404703	1.486436
OG0004323.9	OG0011605.0	OG0003319.0	OG0005099.0	OG0000032.252	OG0001557.1	OG0000116.0	OG0000090.24	OG0010671.0
1.133055	8.092193	4.906955	1.9374310000000001	nan	21.40628	nan	1.567615	3.4499239999999998
OG0000018.842	OG0000228.54	OG0002713.0	OG0006399.1	OG0006514.0	OG0000007.585	OG0005416.0	OG0000013.2	OG0003818.6
2.682202	0.515786	2.841877	1.637558	nan	nan	7.186103	nan	0.5238347
OG0000176.0	OG0000177.8	OG0005631.12	OG0004970.0	OG0006218.0	OG0004010.24	OG0006844.0	OG0000013.2	OG0000442.2
nan	5.586796	1.256414	10.375869999999999	20.062179999999998	3.6015879999999996	3.61439	nan	4.111063
OG0000575.28	OG0007120.0	OG0001618.1	OG0000099.0	OG0000486.2	OG0014533.2	OG0000011.866	OG0006444.0	OG0004975.0
218.6506	1.618607	9.243912	nan	2.731414	1.29005	nan	5.5504050000000005	9.483305999999999
OG0004813.0	OG0000109.0	OG0010778.2	OG0000000.3460	OG0000018.289	OG0000139.0	OG0012983.0	OG0005095.4	OG0004964.6
2.064171	nan	nan	nan	nan	3.153003	2.456475	9.298468	7.2948509999999995
OG0011435.0	OG0003731.0	OG0000047.282	OG0007925.0	OG0000169.16	OG0005626.0	OG0004939.0	OG0000001.1420	OG0000007.3
3.4187980000000002	1.078873	3.909817	217.6747	1.320063	1.144878	5.121427	nan	nan
OG0004971.4	OG0000265.0	OG0005011.0	OG0013536.0	OG0007789.0	OG0000192.0	OG0000032.252	OG0000074.152	OG0003833.22
5.691696	nan	3.4206769999999995	1.08933	3.503996	3.8632519999999997	nan	1.598608	1.014525
OG0005494.2	OG0000239.0	OG0000007.976	OG0004739.0	OG0003204.0	OG0000435.0	OG0000102.0	OG0004997.9	OG0012093.2
3.471982	nan	nan	93.61041999999999	0.6328834	1.409416	nan	1.981795	226.0138
OG0000575.28	OG0005686.0	OG0003403.0	OG0011198.6	OG0000002.1788	OG0000307.20	OG0000100.1	OG0003328.36	OG0006383.0
218.6506	3.3007760000000004	10.12887	4.127832	nan	0.5161384	nan	5.182181	4.509278
OG0005613.0	OG0000018.842	OG0009930.0	OG0000710.0	OG0000119.0	OG0003833.22	OG0000006.561	OG0003063.56	OG0005416.0
4.673449	2.682202	2.693091	9.025097	nan	1.014525	nan	224.9269	7.186103
OG0000054.0	OG0007430.2	OG0002905.2	OG0005431.0	OG0000001.425	OG0006383.0	OG0006085.0	OG0000350.8	OG0000442.2
nan	1.83217	0.5639053	nan	nan	4.509278	3.6563559999999997	1.404703	4.111063
OG0000176.0	OG0007789.0	OG0000245.24	OG0004739.0	OG0012747.0	OG0000435.0	OG0000026.45	OG0003731.0	OG0005095.4
nan	3.503996	nan	93.61041999999999	4.698054	1.409416	nan	1.078873	9.298468
OG0000265.0	OG0003403.0	OG0000109.0	OG0000334.9	OG0000056.0	OG0005222.2	OG0005071.2	OG0011177.0	OG0006563.0
nan	10.12887	nan	1.265232	nan	0.8298646000000001	10.055	nan	nan
OG0000310.18	OG0006123.2	OG0006638.0	OG0005431.0	OG0003629.0	OG0000047.282	OG0004812.0	OG0000006.561	OG0000007.3
nan	5.6090800000000005	215.8613	nan	8.352021	3.909817	9.01097	nan	nan
OG0003514.0	OG0007119.0	OG0001610.50	OG0000228.54	OG0000039.0	OG0007304.2	OG0000001.425	OG0000169.16	OG0006844.0
4.385952	1.614462	0.564844	0.515786	nan	4.246243	nan	1.320063	3.61439
OG0000176.0	OG0000177.8	OG0005940.0	OG0012769.0	OG0000228.54	OG0005071.2	OG0000039.0	OG0005153.1	OG0010239.6
nan	5.586796	2.1774419999999997	nan	0.515786	10.055	nan	7.555855	21.38713
OG0006680.0	OG0000039.0	OG0003184.1	OG0000349.0	OG0000307.20	OG0000015.773	OG0006877.0	OG0006414.0	OG0002905.2
219.9324	nan	5.901555	2.254695	0.5161384	nan	nan	2.231816	0.5639053
