OG0009850.0	OG0000336.0	OG0005491.2
1.082525	nan	3.158199
OG0000062.12	OG0003543.0
nan	0.5148419
OG0007473.0	OG0000092.1	OG0005359.4
nan	nan	0.9163614
OG0005530.6	OG0000279.0	OG0004362.4
1.027084	nan	0.8052608
OG0005501.1	OG0006310.0	OG0000264.1
1.9751	26.36352	nan
OG0007565.0	OG0000302.34	OG0004290.0
3.5331949999999996	nan	1.621918
OG0000175.4	OG0008209.0	OG0007356.0
nan	3.5174309999999998	4.045864
OG0000018.1	OG0007493.0	OG0006005.0
nan	nan	26.61515
OG0000176.0	OG0005729.2	OG0002708.0
nan	3.8051209999999998	1.0675059999999998
OG0000294.0	OG0009091.4	OG0006873.3
nan	2.9270400000000003	5.381396
OG0000272.36	OG0006328.0	OG0004208.2
nan	187.5131	2.564811
OG0005687.4	OG0007850.2	OG0000225.48
3.8372919999999997	2.238157	nan
OG0011910.0	OG0007191.0	OG0000176.0
0.9715872	3.362117	nan
OG0000285.1	OG0005734.0	OG0004053.9
nan	13.9183	0.9410370000000001
OG0004347.0	OG0000175.4	OG0012904.0
nan	nan	nan
OG0000062.12	OG0003326.0	OG0004505.0
nan	3.510918	0.9801918
OG0000403.25	OG0005830.0	OG0001597.53
nan	nan	0.11840430000000002
OG0000062.12	OG0003843.12	OG0006023.0
nan	12.17437	26.369020000000003
OG0000750.0	OG0005852.2	OG0004901.9
nan	4.227904	187.8836
OG0004892.3	OG0004025.11	OG0000088.3
189.2282	0.9814245999999999	nan
OG0005846.2	OG0000044.1	OG0009877.2
4.199369	nan	1.105475
OG0000012.581	OG0000081.1	OG0006195.0
1.938866	nan	26.12538
OG0003061.8	OG0008096.5	OG0000407.1
1.7271990000000002	2.571084	nan
OG0000042.314	OG0003786.18
nan	1.593491
OG0000204.2	OG0007427.0	OG0007822.0
nan	3.1883220000000003	10.91375
OG0011952.0	OG0004740.12	OG0000272.36
2.035591	1.5481790000000002	nan
OG0000005.545	OG0004823.2	OG0000046.1
nan	1.576342	nan
OG0014828.2	OG0000110.3	OG0000010.2
1.56715	nan	1.8918130000000002
OG0005687.4	OG0013045.1	OG0000364.1
3.8372919999999997	2.744774	nan
OG0008551.0	OG0008934.0	OG0000785.2
nan	4.450183999999999	nan
OG0003358.3	OG0005257.0	OG0000147.0
0.11851410000000001	6.663850999999999	nan
OG0002308.0	OG0007538.2	OG0000263.57
3.528915	3.7936360000000002	nan
OG0006175.0	OG0008431.6	OG0000420.0
6.499892	1.127146	nan
OG0005719.2	OG0000022.878	OG0000125.49
14.443320000000002	0.6955906999999999	nan
OG0000048.122	OG0005619.0	OG0010621.0
nan	12.3733	2.565455
OG0004406.0	OG0000320.0	OG0007214.0
2.502159	nan	2.4245810000000003
OG0007809.2	OG0009968.6	OG0000749.2
4.91478	1.194105	nan
OG0000059.133	OG0003042.54	OG0008450.4
nan	3.961267	0.7079141999999999
OG0004347.0	OG0005585.0	OG0000130.38
nan	1.126342	nan
OG0000183.0	OG0012829.2	OG0004375.23
nan	nan	0.6283689
OG0000750.0	OG0005621.0	OG0011467.0
nan	12.97103	4.697316000000001
OG0004958.0	OG0000272.36	OG0010625.0
1.07493	nan	2.453354
OG0000403.25	OG0013992.0	OG0005621.0
nan	2.267992	12.97103
OG0007223.2	OG0004554.6	OG0000256.24
0.7244718000000001	4.610271	nan
OG0000749.2	OG0009006.0	OG0005852.2
nan	1.7071479999999999	4.227904
OG0000180.0	OG0006460.2	OG0006309.0
nan	2.9939150000000003	26.21452
OG0013967.0	OG0000092.1	OG0007164.0
2.1806740000000002	nan	nan
OG0000188.1	OG0013997.0	OG0005695.10
nan	2.954715	nan
OG0000129.29	OG0010637.3	OG0000230.58
3.9428339999999995	1.219742	nan
OG0004958.0	OG0012829.2	OG0000198.0
1.07493	nan	nan
OG0000204.2	OG0005850.4	OG0006003.0
nan	nan	13.960629999999998
OG0009019.8	OG0004412.2	OG0000081.1
1.921505	1.2303	nan
OG0000228.35	OG0004759.3	OG0000256.24
nan	2.8562279999999998	nan
OG0011732.0	OG0005428.4	OG0000002.763
1.10471	1.05593	nan
OG0010584.0	OG0004347.0	OG0000175.4
3.602414	nan	nan
OG0003757.20	OG0005091.0	OG0000147.0
3.9726230000000005	3.140016	nan
OG0012001.0	OG0000246.0	OG0007156.2
1.243079	nan	4.903654
OG0000014.1	OG0006086.0	OG0010605.0
nan	1.9902990000000003	1.115318
OG0000599.0	OG0007516.0	OG0007748.0
nan	0.3536233	2.612802
OG0004347.0	OG0011007.2	OG0000407.1
nan	2.0668130000000002	nan
OG0009292.1	OG0000044.1	OG0004242.10
1.726794	nan	1.357797
OG0004610.1	OG0000261.0	OG0004208.2
3.1983639999999998	nan	2.564811
OG0003774.0	OG0000338.41	OG0000154.251
65.85455	nan	1.113302
OG0009881.4	OG0000183.0	OG0004241.1
2.549383	nan	1.6685029999999998
OG0005667.0	OG0000225.48	OG0013513.2
2.358777	nan	2.073022
OG0013995.0	OG0004623.10	OG0000409.24
2.985626	0.9870076999999999	nan
OG0006453.1	OG0000120.105	OG0007665.0
2.726789	nan	nan
OG0000001.2899	OG0009132.4	OG0004754.7
nan	1.095753	1.674665
OG0003543.0	OG0000584.0	OG0013986.0
0.5148419	nan	1.383145
OG0006828.0	OG0000160.4	OG0004240.0
2.325459	nan	5.701112999999999
OG0000261.0	OG0006014.0	OG0005826.0
nan	26.418590000000002	1.763895
OG0005869.0	OG0013962.0	OG0000409.24
2.125954	1.255269	nan
OG0008977.6	OG0000225.48	OG0007167.0
2.547275	nan	3.349811
OG0000279.0	OG0009868.0	OG0006867.4
nan	4.418386	nan
OG0000279.0	OG0005824.0	OG0011403.0
nan	12.31912	0.7076828000000001
OG0004649.2	OG0000125.49	OG0004823.2
13.947239999999999	nan	1.576342
OG0005612.2	OG0009926.1	OG0000431.12
1.452006	1.138567	nan
