nan	0.05287959999999999	0.043883099999999994	0.09601010000000001	0.182524
OG0001345.24	OG0014592.0	OG0000886.24	OG0002158.0	OG0000026.45
1e-07	nan	0.107778	0.03743030000000001	0.295412
OG0000704.0	OG0001166.24	OG0008079.18	OG0001450.26	OG0000056.0
0.0198678	1e-07	nan	1e-07	0.188898
OG0000713.24	OG0000522.0	OG0000018.289	OG0002321.0	OG0019431.0
0.0225053	0.0505837	0.182524	1e-07	nan
OG0002121.0	OG0001330.24	OG0000615.1	OG0000006.561	OG0014747.1
1e-07	1e-07	1e-07	0.14416700000000002	nan
OG0000847.24	OG0001382.24	OG0000010.475	OG0016099.0	OG0001290.24
1e-07	0.0631554	0.21723299999999998	nan	0.0128567
OG0002146.0	OG0008756.0	OG0001080.1	OG0001880.0	OG0000032.252
0.014421999999999999	nan	0.121294	1e-07	0.0885307
OG0000007.976	OG0007857.4	OG0002129.0	OG0001182.24	OG0002218.0
0.237788	nan	1e-07	0.0266108	1e-07
OG0000165.172	OG0014175.6	OG0001298.24	OG0000018.289	OG0001253.24
1e-07	nan	1e-07	0.182524	1e-07
OG0002035.0	OG0011970.0	OG0000834.30	OG0000082.1	OG0000925.1
1e-07	nan	1e-07	0.152756	1e-07
OG0001079.1	OG0020461.0	OG0002243.0	OG0000082.1	OG0001304.24
1e-07	nan	1e-07	0.152756	0.0141738
OG0002150.0	OG0001403.24	OG0000846.25	OG0009043.0	OG0000032.252
0.0162114	1e-07	1e-07	nan	0.0885307
OG0002045.0	OG0005270.34	OG0000848.32	OG0000026.45	OG0001629.5
0.0241377	nan	0.0320626	0.295412	1e-07
OG0001413.1	OG0000010.475	OG0001403.24	OG0001492.24	OG0008059.4
0.017475400000000002	0.21723299999999998	1e-07	0.0220065	nan
OG0001386.24	OG0000038.0	OG0002116.0	OG0016764.0	OG0000661.3
0.034270800000000004	0.173468	1e-07	nan	0.127855
OG0000007.976	OG0001176.24	OG0000236.122	OG0012651.6	OG0001180.24
0.237788	0.0163149	0.168738	nan	0.029323900000000003
OG0007769.0	OG0001059.24	OG0000977.1	OG0000032.252	OG0001164.24
nan	1e-07	0.0562374	0.0885307	0.0171474
OG0001278.2	OG0000011.1	OG0000863.32	OG0002037.0	OG0012194.0
0.030283099999999997	0.190581	1e-07	1e-07	nan
OG0001546.1	OG0001495.2	OG0000026.45	OG0002013.0	OG0018965.0
1e-07	1e-07	0.295412	1e-07	nan
OG0000732.24	OG0000983.28	OG0013872.4	OG0001271.1	OG0000018.289
0.0660924	0.0220849	nan	1e-07	0.182524
OG0001292.1	OG0000002.1788	OG0001853.0	OG0001132.24	OG0013603.0
0.022981099999999997	0.184944	0.0520944	1e-07	nan
OG0000292.93	OG0006965.6	OG0000975.0	OG0000675.1	OG0000012.918
1e-07	nan	0.029964799999999996	0.0326788	0.148813
OG0001921.0	OG0000011.1	OG0001303.26	OG0002176.0	OG0019378.0
1e-07	0.190581	1e-07	0.017393900000000004	nan
OG0000983.28	OG0001241.24	OG0000936.24	OG0000006.561	OG0014742.1
0.0220849	1e-07	0.032650200000000004	0.14416700000000002	nan
OG0001246.24	OG0020706.0	OG0000559.30	OG0000056.0	OG0000801.24
0.028739999999999998	nan	0.15345799999999998	0.188898	0.0491522
OG0009046.12	OG0001357.24	OG0001328.24	OG0000006.561	OG0000901.0
nan	0.017284599999999997	0.0614885	0.14416700000000002	0.0532661
OG0000615.1	OG0001000.24	OG0001593.20	OG0014780.4	OG0000056.0
1e-07	1e-07	1e-07	nan	0.188898
OG0000002.1788	OG0001432.24	OG0001536.0	OG0002000.0	OG0016933.0
0.184944	0.0942874	0.041466	1e-07	nan
OG0000054.0	OG0000026.628	OG0000019.257	OG0001861.0	OG0016560.2
0.124571	0.0657734	0.18221800000000002	1e-07	nan
OG0001486.1	OG0000010.475	OG0007934.0	OG0001830.6	OG0000925.1
1e-07	0.21723299999999998	nan	0.184678	1e-07
OG0001051.24	OG0000636.1	OG0000932.26	OG0000032.252	OG0007851.2
0.0558048	0.044613099999999996	0.0204768	0.0885307	nan
OG0001307.24	OG0013103.0	OG0000001.1420	OG0001245.24	OG0001346.24
0.0171474	nan	0.188539	1e-07	1e-07
OG0000425.53	OG0014713.1	OG0000735.1	OG0001379.1	OG0000056.0
0.038555900000000004	nan	0.0701751	1e-07	0.188898
OG0022029.0	OG0001815.3	OG0000018.289	OG0001111.22	OG0001883.0
nan	0.014421999999999999	0.182524	0.081627	0.0179024
OG0000011.1	OG0007922.2	OG0000664.3	OG0001472.0	OG0000543.45
0.190581	nan	0.0296897	0.0164453	1e-07
OG0012745.4	OG0001212.24	OG0002043.0	OG0001040.1	OG0000032.252
nan	0.0201768	1e-07	0.0171474	0.0885307
OG0001550.0	OG0007311.2	OG0001038.1	OG0002028.0	OG0000006.561
0.0216728	nan	0.012731999999999999	1e-07	0.14416700000000002
OG0014592.0	OG0001082.24	OG0000242.29	OG0000018.289	OG0001425.1
nan	0.043883099999999994	1e-07	0.182524	0.0533852
OG0001366.26	OG0001418.30	OG0002053.0	OG0012936.4	OG0000082.1
0.04068630000000001	0.053954300000000004	0.014421999999999999	nan	0.152756
OG0001357.24	OG0001238.24	OG0000056.0	OG0001861.0	OG0020746.0
0.017284599999999997	0.0171868	0.188898	1e-07	nan
OG0000479.1	OG0000809.2	OG0000018.289	OG0016128.4	OG0000850.12
0.0139268	1e-07	0.182524	nan	0.0471831
OG0001218.24	OG0000367.3	OG0000038.0	OG0000577.45	OG0002168.0
0.022986799999999998	1e-07	0.173468	nan	0.0162815
OG0000097.1	OG0008265.0	OG0000026.45	OG0002032.0	OG0001205.24
0.018525599999999996	nan	0.295412	0.054825099999999995	1e-07
OG0001315.24	OG0001169.24	OG0002126.0	OG0006968.0	OG0000001.1420
0.055023300000000004	1e-07	1e-07	nan	0.188539
OG0000002.1788	OG0002109.0	OG0016681.4	OG0001267.24	OG0001180.24
0.184944	1e-07	nan	0.0265164	0.029323900000000003
OG0007066.10	OG0001390.24	OG0002319.0	OG0000032.252	OG0001180.24
nan	1e-07	0.030506799999999997	0.0885307	0.029323900000000003
OG0014506.6	OG0001146.1	OG0001461.24	OG0000278.126	OG0000012.918
nan	0.044695900000000004	1e-07	0.107438	0.148813
OG0000010.475	OG0000561.24	OG0000770.1	OG0001297.24	OG0015404.4
0.21723299999999998	0.017819099999999997	0.0565812	1e-07	nan
OG0000010.475	OG0020896.0	OG0000627.52	OG0001416.0	OG0001289.1
0.21723299999999998	nan	1e-07	1e-07	1e-07
OG0000953.26	OG0001165.26	OG0001288.1	OG0009046.12	OG0000026.45
1e-07	0.032257799999999996	1e-07	nan	0.295412
OG0000007.976	OG0001778.24	OG0002036.0	OG0002233.0	OG0007270.0
0.237788	0.14846199999999998	0.0433674	1e-07	nan
OG0022253.0	OG0002035.0	OG0001488.22	OG0002085.0	OG0000018.289
nan	1e-07	0.0299649	1e-07	0.182524
OG0000011.1	OG0011328.4	OG0000941.24	OG0001456.24	OG0000737.40
0.190581	nan	0.0313449	0.0171474	0.0171474
OG0007588.4	OG0001331.24	OG0001236.24	OG0000082.1	OG0001934.0
nan	0.10244400000000001	0.0631623	0.152756	1e-07
OG0000007.976	OG0011584.2	OG0001090.26	OG0002334.0	OG0000901.0
0.237788	nan	1e-07	0.0171474	0.0532661
OG0006878.0	OG0001933.0	OG0000685.33	OG0000082.1	OG0001050.0
nan	1e-07	0.0569297	0.152756	1e-07
OG0001330.24	OG0010953.4	OG0001947.0	OG0002090.0	OG0000006.561
1e-07	nan	0.0575986	0.0438676	0.14416700000000002
OG0001360.24	OG0000011.1	OG0007933.0	OG0001277.24	OG0000369.1
1e-07	0.190581	nan	0.017393900000000004	0.0220849
OG0000010.475	OG0017987.0	OG0000902.24	OG0001260.24	OG0001849.0
0.21723299999999998	nan	1e-07	1e-07	0.038105900000000005
OG0000002.1788	OG0020494.0	OG0002123.0	OG0002019.0	OG0000896.1
0.184944	nan	1e-07	0.0296712	0.0426126
OG0001810.0	OG0000987.19	OG0001512.12	OG0000012.918	OG0010979.0
1e-07	0.181812	1e-07	0.148813	nan
OG0000948.24	OG0001247.24	OG0002086.0	OG0000082.1	OG0007626.0
0.0305585	1e-07	1e-07	0.152756	nan
OG0000769.0	OG0001275.26	OG0001298.24	OG0000018.289	OG0007931.1
0.0541877	1e-07	1e-07	0.182524	nan
OG0001542.3	OG0000547.0	OG0001145.3	OG0000038.0	OG0008712.0
0.027011900000000002	0.0614071	1e-07	0.173468	nan
OG0000007.976	OG0014555.2	OG0001460.24	OG0002231.0	OG0001584.0
0.237788	nan	1e-07	1e-07	1e-07
OG0000945.1	OG0014808.4	OG0002106.0	OG0000738.19	OG0000006.561
0.0171474	nan	0.0270861	1e-07	0.14416700000000002
OG0000832.1	OG0002077.0	OG0001132.24	OG0000082.1	OG0000706.25
nan	1e-07	1e-07	0.152756	1e-07
OG0000627.52	OG0001870.2	OG0000001.1420	OG0000757.29	OG0001160.24
1e-07	0.05287959999999999	0.188539	nan	0.025876599999999996
OG0015363.2	OG0001228.1	OG0002163.0	OG0000360.67	OG0000001.1420
nan	1e-07	0.064442	0.0439858	0.188539
OG0002088.0	OG0001666.14	OG0016752.0	OG0002319.0	OG0000012.918
1e-07	0.025093599999999997	nan	0.030506799999999997	0.148813
OG0001301.24	OG0000010.475	OG0000929.1	OG0007932.0	OG0000900.25
0.0430935	0.21723299999999998	0.0218136	nan	0.0286327
OG0001996.0	OG0001256.24	OG0008990.2	OG0001068.1	OG0000018.289
1e-07	0.0299649	nan	0.0514379	0.182524
OG0001264.24	OG0000026.45	OG0011132.2	OG0000378.2	OG0002065.0
1e-07	0.295412	nan	0.112516	1e-07
OG0001961.2	OG0016177.4	OG0002080.0	OG0000082.1	OG0001100.24
0.05297280000000001	nan	1e-07	0.152756	0.0165696
OG0000627.52	OG0001157.1	OG0000038.0	OG0002334.0	OG0014659.1
1e-07	1e-07	0.173468	0.0171474	nan
OG0002006.0	OG0000378.2	OG0007008.1	OG0000006.561	OG0002052.0
1e-07	0.112516	nan	0.14416700000000002	1e-07
OG0018050.0	OG0002078.0	OG0000834.30	OG0001480.22	OG0000018.289
nan	0.0165696	1e-07	1e-07	0.182524
OG0001455.24	OG0002065.0	OG0008224.0	OG0000056.0	OG0001320.26
0.0638838	1e-07	nan	0.188898	0.0218666
OG0001228.1	OG0000002.1788	OG0000676.120	OG0000367.3	OG0000755.4
1e-07	0.184944	nan	1e-07	0.082334
OG0014752.4	OG0000018.289	OG0001073.24	OG0000803.36	OG0002009.0
nan	0.182524	1e-07	1e-07	1e-07
OG0000054.0	OG0001735.3	OG0000592.34	OG0004634.3	OG0001273.24
0.124571	1e-07	0.09741219999999999	nan	1e-07
OG0001401.24	OG0001292.1	OG0000242.29	OG0000082.1	OG0018522.0
0.0230375	0.022981099999999997	1e-07	0.152756	nan
OG0001453.1	OG0005637.0	OG0000512.25	OG0001097.24	OG0000082.1
1e-07	nan	0.04165069999999999	0.054398800000000004	0.152756
OG0001003.24	OG0000000.3448	OG0000941.24	OG0001394.24	OG0000056.0
0.021549400000000003	nan	0.0313449	1e-07	0.188898
OG0001863.0	OG0000002.1788	OG0001313.24	OG0007346.4	OG0001321.26
1e-07	0.184944	0.017393900000000004	nan	1e-07
OG0001303.26	OG0000283.91	OG0001468.24	OG0000977.1	OG0000082.1
1e-07	nan	0.07194099999999999	0.0562374	0.152756
OG0001915.0	OG0002097.0	OG0000001.1420	OG0000828.16	OG0014341.0
1e-07	1e-07	0.188539	0.0269004	nan
OG0001055.24	OG0001259.24	OG0016178.1	OG0000038.0	OG0001186.24
1e-07	0.022016900000000002	nan	0.173468	1e-07
OG0015391.4	OG0000935.24	OG0001798.0	OG0000018.289	OG0001346.24
nan	0.022016900000000002	1e-07	0.182524	1e-07
OG0000007.976	OG0016144.4	OG0001460.24	OG0000948.24	OG0001820.0
0.237788	nan	1e-07	0.0305585	0.021043700000000002
OG0001169.24	OG0005772.1	OG0002104.0	OG0000018.289	OG0001402.24
1e-07	nan	0.0640556	0.182524	0.017406900000000003
OG0001234.24	OG0001339.1	OG0010765.0	OG0001329.24	OG0000026.45
1e-07	0.0248665	nan	0.0220849	0.295412
OG0000010.475	OG0012731.2	OG0000600.26	OG0001000.24	OG0001063.0
0.21723299999999998	nan	0.150621	1e-07	1e-07
OG0002024.0	OG0001998.0	OG0001629.5	OG0000001.1420	OG0008493.6
1e-07	1e-07	1e-07	0.188539	nan
OG0000054.0	OG0000637.34	OG0001399.24	OG0009060.0	OG0000906.25
0.124571	0.0419702	1e-07	nan	0.169326
OG0001508.1	OG0001076.24	OG0002054.0	OG0000032.252	OG0010528.1
0.0377499	0.024607900000000002	1e-07	0.0885307	nan
OG0000002.1788	OG0000948.24	OG0014691.1	OG0000834.30	OG0001252.1
0.184944	0.0305585	nan	1e-07	0.037550599999999996
OG0000054.0	OG0000860.24	OG0014841.0	OG0002055.0	OG0001335.24
0.124571	1e-07	nan	1e-07	0.064442
OG0002174.0	OG0000038.0	OG0001313.24	OG0001139.24	OG0001617.1
0.042416699999999995	0.173468	0.017393900000000004	1e-07	nan
OG0007307.2	OG0001122.1	OG0001859.0	OG0001364.24	OG0000012.918
nan	1e-07	1e-07	0.0171202	0.148813
OG0000054.0	OG0001394.24	OG0000822.0	OG0002080.0	OG0019409.0
0.124571	1e-07	0.023010299999999997	1e-07	nan
OG0001307.24	OG0000026.45	OG0001247.24	OG0016180.0	OG0002058.0
0.0171474	0.295412	1e-07	nan	1e-07
OG0000054.0	OG0002051.0	OG0000976.24	OG0006508.0	OG0001553.14
0.124571	1e-07	0.04371269999999999	nan	0.0392245
OG0013202.0	OG0000011.1	OG0001246.24	OG0002027.0	OG0001309.24
nan	0.190581	0.028739999999999998	1e-07	1e-07
OG0001085.24	OG0018011.0	OG0002138.0	OG0000830.1	OG0000032.252
1e-07	nan	1e-07	1e-07	0.0885307
OG0012729.10	OG0002252.0	OG0001460.24	OG0000038.0	OG0001649.0
nan	1e-07	1e-07	0.173468	1e-07
OG0002122.0	OG0008678.1	OG0000002.1788	OG0001456.24	OG0001070.26
1e-07	nan	0.184944	0.0171474	1e-07
OG0001246.24	OG0014555.2	OG0002128.0	OG0000001.1420	OG0001184.24
0.028739999999999998	nan	1e-07	0.188539	1e-07
OG0001996.0	OG0002096.0	OG0001162.22	OG0000001.1420	OG0006959.0
1e-07	0.029819799999999997	0.07888250000000001	0.188539	nan
OG0002063.0	OG0010970.0	OG0000056.0	OG0001249.1	OG0001263.26
1e-07	nan	0.188898	1e-07	0.0162114
OG0002134.0	OG0000861.24	OG0008758.2	OG0000038.0	OG0000853.1
1e-07	0.0940642	nan	0.173468	0.029879400000000004
OG0000397.30	OG0001244.24	OG0000082.1	OG0012951.0	OG0000415.0
1e-07	1e-07	0.152756	nan	0.19988499999999998
OG0017870.2	OG0000915.28	OG0001584.0	OG0000082.1	OG0001137.24
nan	0.10549800000000001	1e-07	0.152756	1e-07
OG0000816.36	OG0001226.24	OG0001167.24	OG0000082.1	OG0018408.0
0.0587128	1e-07	1e-07	0.152756	nan
OG0000007.976	OG0002151.0	OG0001382.24	OG0010981.0	OG0001954.0
0.237788	0.14188	0.0631554	nan	1e-07
OG0001226.24	OG0000820.2	OG0000678.1	OG0000032.252	OG0011573.0
1e-07	0.0388017	1e-07	0.0885307	nan
OG0001996.0	OG0001095.25	OG0000615.1	OG0020744.0	OG0000056.0
1e-07	0.022154499999999997	1e-07	nan	0.188898
OG0007618.0	OG0000026.45	OG0002036.0	OG0001162.22	OG0001271.1
nan	0.295412	0.0433674	0.07888250000000001	1e-07
OG0000054.0	OG0018464.2	OG0002159.0	OG0002174.0	OG0002214.0
0.124571	nan	0.0179024	0.042416699999999995	1e-07
OG0000011.1	OG0002083.0	OG0022208.0	OG0002070.0	OG0001172.24
0.190581	1e-07	nan	1e-07	0.0163149
OG0012034.0	OG0001149.24	OG0001999.0	OG0000936.24	OG0000056.0
nan	1e-07	1e-07	0.032650200000000004	0.188898
OG0000919.32	OG0000002.1788	OG0013252.2	OG0001000.24	OG0001319.1
1e-07	0.184944	nan	1e-07	1e-07
OG0002102.0	OG0001245.24	OG0013173.1	OG0000001.1420	OG0000803.36
1e-07	1e-07	nan	0.188539	1e-07
OG0000007.976	OG0002102.0	OG0002003.1	OG0018845.0	OG0001637.1
0.237788	1e-07	1e-07	nan	1e-07
OG0000002.1788	OG0011000.0	OG0001030.26	OG0002003.1	OG0002070.0
0.184944	nan	0.019034400000000003	1e-07	1e-07
OG0009195.0	OG0000975.0	OG0000002.1788	OG0000860.24	OG0001029.24
