2.869712	26.31772	3.6157269999999997	0.7896392	46.05968
OG0018953.6	OG0053869.0	OG0047609.0	OG0009152.1	OG0005693.0
1.491428	2.31305	3.3959230000000002	3.628194	2.838346
OG0020504.0	OG0012227.0	OG0038657.0	OG0047381.0	OG0011146.2
3.3734629999999997	1.540441	3.383253	3.385278	0.7935307
OG0016733.2	OG0010885.0	OG0019014.3	OG0026304.0	OG0005381.10
1.5236180000000001	3.0946029999999998	262.3777	3.373818	3.285118
OG0020516.0	OG0002836.4	OG0016162.0	OG0022233.0	OG0046150.0
0.9598728000000001	4.6752910000000005	4.7271540000000005	3.5434919999999996	261.0251
OG0014483.9	OG0038061.0	OG0009905.0	OG0024463.0	OG0002777.4
2.670893	2.742859	2.5455490000000003	1.862611	14.17534
OG0026945.0	OG0017903.2	OG0013309.0	OG0003140.0	OG0056594.0
1.611772	1.576124	3.6664879999999997	211.0353	2.699336
OG0035787.0	OG0012686.0	OG0057416.0	OG0018524.1	OG0014708.6
1.296922	7.25661	2.566596	3.409392	8.009625
OG0021186.0	OG0012773.4	OG0004793.6	OG0046887.0	OG0047516.0
3.065821	0.7789203	1.421785	253.4664	3.36361
OG0001944.0	OG0008347.0	OG0014704.4	OG0019729.0	OG0005534.0
nan	3.64929	8.089564999999999	2.215719	45.08184
OG0044243.0	OG0026988.0	OG0026588.0	OG0057454.0	OG0027604.0
2.7681419999999997	3.261548	1.521032	2.856693	2.225022
OG0012201.0	OG0056608.0	OG0001829.22	OG0001489.105	OG0006655.0
4.6930819999999995	2.681681	1.255436	3.301386	215.9552
OG0019327.0	OG0002734.0	OG0035667.0	OG0008385.3	OG0009546.1
2.414323	19.18607	1.303343	1.503384	254.8754
OG0012388.0	OG0011484.2	OG0005291.6	OG0020405.0	OG0001802.4
1.7997400000000001	0.9354725	2.1185560000000003	6.242541	6.897328
OG0056735.0	OG0023138.0	OG0001253.24	OG0020556.0	OG0044417.0
2.536317	2.70404	nan	1.4637950000000002	1.4637040000000001
OG0044707.0	OG0004403.16	OG0002181.0	OG0027665.0	OG0047328.0
1.851864	nan	1.2193379999999998	1.4576799999999999	3.342835
OG0005125.6	OG0000325.0	OG0021985.0	OG0005221.0	OG0016920.4
4.599365	1.820715	3.249979	3.6878019999999996	1.939846
OG0008496.8	OG0056533.0	OG0023069.0	OG0003605.0	OG0013750.0
2.409534	2.330387	2.60392	1.7902639999999999	4.399005000000001
OG0002754.7	OG0017453.3	OG0047359.0	OG0017871.2	OG0005334.0
1.315123	2.290682	3.377678	1.1084200000000002	3.942447
OG0044059.0	OG0000061.0	OG0007677.15	OG0000656.0	OG0038132.0
2.835649	nan	3.124603	3.413718	2.792719
OG0046218.0	OG0044630.0	OG0009830.0	OG0007260.0	OG0048835.0
257.4153	1.8585099999999999	2.104943	3.461904	2.335292
OG0006352.0	OG0002611.0	OG0029070.0	OG0010535.9	OG0011168.0
2.079441	7.255657000000001	2.67739	6.272345	1.622906
OG0005457.0	OG0035810.0	OG0000368.4	OG0022193.0	OG0019171.0
3.7662410000000004	1.290767	3.5228029999999997	3.429901	1.455152
OG0038736.0	OG0022068.0	OG0020730.0	OG0013642.0	OG0041570.0
3.390133	2.079302	1.41707	2.710734	3.300222
OG0002361.0	OG0003018.18	OG0008356.17	OG0023273.0	OG0001604.2
7.265060000000001	45.55109	3.783415	3.355532	5.080793
OG0019232.0	OG0023008.0	OG0027491.0	OG0021989.0	OG0057505.0
2.0660990000000004	1.8710930000000001	1.485018	3.274009	2.695657
OG0007320.10	OG0005915.2	OG0004461.4	OG0027589.0	OG0002412.0
4.663587000000001	2.866388	7.412988	2.735338	5.817554
OG0045987.0	OG0044557.0	OG0021629.0	OG0023213.0	OG0007034.0
254.391	1.449502	1.5280610000000001	2.775116	5.482809
OG0001068.1	OG0001034.145	OG0002929.0	OG0008759.0	OG0047992.0
nan	1.444498	0.8543014999999999	1.670541	3.778565
OG0053936.0	OG0012908.0	OG0046546.0	OG0024538.0	OG0024499.0
2.5357689999999997	2.081523	258.2532	3.011477	2.385128
OG0012251.0	OG0003553.40	OG0008986.4	OG0013445.7	OG0056700.0
3.073691	210.5829	2.069456	3.749647	2.705649
OG0016813.6	OG0002629.98	OG0029604.0	OG0002677.6	OG0007923.2
1.440526	3.7100910000000002	1.456795	3.285739	8.054573
OG0010083.0	OG0025669.0	OG0045416.0	OG0019381.0	OG0011516.10
5.36825	3.059657	259.9433	1.933941	2.6766240000000003
OG0014168.0	OG0007165.4	OG0057416.0	OG0049179.0	OG0016935.3
3.749832	4.2857199999999995	2.566596	2.358893	2.096191
OG0014599.0	OG0016222.4	OG0019462.0	OG0001934.0	OG0000368.4
2.9911630000000002	5.2953529999999995	1.9793029999999998	nan	3.5228029999999997
OG0001486.1	OG0017932.3	OG0017963.4	OG0001436.24	OG0007550.0
nan	3.159573	3.123379	nan	2.520293
OG0002804.2	OG0001503.3	OG0006481.0	OG0006622.0	OG0015132.7
2.000616	15.1512	2.1853689999999997	219.0888	259.4561
OG0001094.26	OG0029170.0	OG0028815.0	OG0004265.0	OG0046849.0
nan	2.502298	2.6619330000000003	116.0496	262.8265
OG0019347.0	OG0057557.0	OG0006871.4	OG0043762.0	OG0002177.28
1.1274389999999999	2.85112	3.999203	1.478206	1.5200129999999998
OG0006453.1	OG0047006.0	OG0038794.0	OG0013330.9	OG0038796.0
2.721837	3.356184	3.404735	2.546611	3.3898349999999997
OG0025088.0	OG0057584.0	OG0053993.0	OG0008011.7	OG0003265.0
1.300344	2.621873	2.366695	260.2376	4.133043
