nan	nan	nan	nan	nan
OG0056658.0	OG0015115.7	OG0004869.12	OG0037900.0	OG0029626.0
nan	nan	nan	nan	nan
OG0007131.0	OG0015206.2	OG0045127.0	OG0002519.0	OG0013302.9
nan	nan	nan	1.314107637619	nan
OG0007017.0	OG0007021.0	OG0025682.0	OG0002653.5	OG0002608.1
nan	nan	nan	0.536718998519	0.023832027537
OG0005845.2	OG0037820.0	OG0002332.0	OG0006011.0	OG0006642.0
nan	nan	nan	nan	nan
OG0044379.0	OG0041636.0	OG0049022.0	OG0045745.0	OG0010504.6
nan	nan	nan	nan	nan
OG0007564.3	OG0043920.0	OG0008512.0	OG0024746.0	OG0001064.24
nan	nan	nan	nan	nan
OG0005378.12	OG0012982.2	OG0005991.0	OG0046635.0	OG0005120.26
nan	1.404344541934	nan	nan	nan
OG0005346.24	OG0009012.4	OG0011680.11	OG0003783.0	OG0012766.4
nan	nan	nan	nan	nan
OG0017034.0	OG0024538.0	OG0027433.0	OG0018603.2	OG0045811.0
nan	nan	nan	nan	nan
OG0008919.0	OG0006020.0	OG0002725.11	OG0000435.0	OG0003672.0
nan	nan	0.3574301018	1.604118432148	nan
OG0018953.6	OG0053869.0	OG0047609.0	OG0009152.1	OG0005693.0
nan	nan	nan	1.162263789332	nan
OG0020504.0	OG0012227.0	OG0038657.0	OG0047381.0	OG0011146.2
nan	nan	nan	nan	nan
OG0016733.2	OG0010885.0	OG0019014.3	OG0026304.0	OG0005381.10
nan	nan	nan	nan	nan
OG0020516.0	OG0002836.4	OG0016162.0	OG0022233.0	OG0046150.0
nan	nan	nan	0.811044758461	nan
OG0014483.9	OG0038061.0	OG0009905.0	OG0024463.0	OG0002777.4
nan	nan	0.007915238223	nan	1.61264925211
OG0026945.0	OG0017903.2	OG0013309.0	OG0003140.0	OG0056594.0
nan	nan	nan	nan	nan
OG0035787.0	OG0012686.0	OG0057416.0	OG0018524.1	OG0014708.6
nan	nan	nan	nan	nan
OG0021186.0	OG0012773.4	OG0004793.6	OG0046887.0	OG0047516.0
nan	nan	0.18482129574099998	nan	nan
OG0001944.0	OG0008347.0	OG0014704.4	OG0019729.0	OG0005534.0
nan	nan	nan	1.878011459636	nan
OG0044243.0	OG0026988.0	OG0026588.0	OG0057454.0	OG0027604.0
nan	nan	nan	nan	nan
OG0012201.0	OG0056608.0	OG0001829.22	OG0001489.105	OG0006655.0
nan	nan	1.310573375368	nan	nan
OG0019327.0	OG0002734.0	OG0035667.0	OG0008385.3	OG0009546.1
nan	nan	nan	nan	nan
OG0012388.0	OG0011484.2	OG0005291.6	OG0020405.0	OG0001802.4
nan	0.030392982119	nan	nan	0.647740521149
OG0056735.0	OG0023138.0	OG0001253.24	OG0020556.0	OG0044417.0
nan	nan	nan	nan	nan
