OG0002761.0	OG0014849.0	OG0000109.0	OG0004961.2	OG0027675.0	OG0000279.0	OG0000265.0	OG0010125.0	OG0008128.0	OG0001550.0	OG0010995.2	OG0017155.5	OG0000318.0	OG0000011.1	OG0003329.0	OG0035637.0	OG0002946.0	OG0001347.26	OG0001667.0	OG0000702.24	OG0000884.25	OG0005222.2	OG0000671.12	OG0000431.12	OG0004964.6	OG0002185.6	OG0005687.4	OG0000006.561	OG0000112.0	OG0006611.0	OG0004968.14
-0.2778193	-0.6467123	0.7297899	-0.6440788000000001	0.2877212	nan	nan	0.5576821999999999	-0.7238637	nan	-0.404667	1.04415	0.05866991	nan	0.06154083	4.552423999999999	-0.8042722	nan	nan	nan	nan	0.2179585	0.8201684000000001	nan	-0.27575890000000003	0.3775039	-0.8514303	nan	nan	-1.134903	-0.5841274000000001
OG0000245.24	OG0013512.2	OG0000738.19	OG0001000.24	OG0003012.0	OG0000320.0	OG0015290.0	OG0005465.0	OG0003944.0	OG0000411.0	OG0002222.0	OG0007722.2	OG0003326.0	OG0019023.0	OG0004806.29	OG0007822.0	OG0000060.0	OG0000026.45	OG0005817.0	OG0000905.14	OG0045490.0	OG0034790.0	OG0000483.0	OG0000435.0	OG0002298.4	OG0003890.6	OG0000204.2	OG0002822.4	OG0000779.1	OG0002938.0	OG0000012.918
-0.2543346	0.33277070000000003	nan	nan	-1.005366	nan	1.453501	-0.6683511999999999	-0.3525344	nan	nan	-0.7626969	0.1488339	-1.211871	-0.07927566	-0.01827323	nan	nan	-0.35952829999999997	nan	-6.250058999999999	-1.630436	0.3933374	0.40231059999999996	0.5626711999999999	-0.02401666	nan	0.3382678	-1.211077	-0.36202979999999996	nan
OG0002761.0	OG0004979.3	OG0002080.0	OG0000339.0	OG0002909.2	OG0012357.7	OG0005073.0	OG0000302.34	OG0004396.0	OG0020879.0	OG0000007.585	OG0000009.921	OG0000198.0	OG0004784.0	OG0000187.1	OG0002157.0	OG0001669.0	OG0006103.0	OG0013937.0	OG0005081.18	OG0000467.0	OG0003171.1	OG0000011.1	OG0000923.0	OG0013611.2	OG0048084.0	OG0000310.18	OG0006414.0	OG0035636.0	OG0004470.0	OG0005703.0
-0.2778193	0.41345859999999995	nan	nan	0.12846	0.5208295000000001	-0.35726779999999997	nan	-0.954674	1.594554	nan	nan	nan	-0.40244450000000004	1.171144	nan	nan	-0.11358110000000002	0.08120609	1.086741	nan	0.47288379999999997	nan	0.6578341999999999	0.4558478	-0.756402	0.8435045	0.2359625	5.6680839999999995	0.1671154	-0.4723052
OG0002577.26	OG0001609.10	OG0000349.0	OG0002615.8	OG0000426.5	OG0006882.0	OG0000200.0	OG0000042.314	OG0001062.24	OG0000637.23	OG0000661.3	OG0044939.0	OG0038159.0	OG0006211.0	OG0003647.3	OG0013539.0	OG0001239.26	OG0004494.1	OG0005430.1	OG0001344.0	OG0000074.1	OG0011422.0	OG0000192.0	OG0012483.0	OG0000431.12	OG0000015.773	OG0000007.976	OG0004433.4	OG0005899.0	OG0003385.20	OG0000045.0
-0.24246120000000002	-0.4121183	0.5581897	-0.5787916	0.4447167	0.24161929999999998	nan	nan	nan	-1.259012	nan	2.837918	2.257772	-1.182817	-1.2352889999999999	1.090912	nan	-0.7418355999999999	-0.04915823	nan	nan	-0.7382996999999999	-0.1931609	0.9969613000000002	nan	nan	nan	-0.7438419	-0.8605780000000001	0.6891298	nan
OG0001046.24	OG0008519.0	OG0008510.8	OG0043592.0	OG0001628.0	OG0000349.0	OG0044053.0	OG0003661.0	OG0000142.14	OG0005737.2	OG0006104.0	OG0003205.0	OG0023158.0	OG0000015.1	OG0018394.0	OG0009983.2	OG0001239.26	OG0006474.4	OG0005273.11	OG0003974.4	OG0008865.1	OG0000617.25	OG0002158.0	OG0000088.3	OG0002869.0	OG0002195.39	OG0002335.4	OG0000263.57	OG0000074.152	OG0000045.0	OG0000012.918
nan	0.7719760999999999	-0.6260526999999999	1.520736	nan	0.5581897	4.682898000000001	-0.3716409	-1.2280879999999998	-1.210008	-0.21504189999999998	-0.6163819	-1.681185	nan	0.3284434	-0.5477850000000001	nan	-0.7093096999999999	-0.2277342	-1.016208	-1.2081879999999998	nan	nan	nan	-0.7051708999999999	-0.1667419	-0.11668599999999998	nan	nan	nan	nan
