OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
-0.574025449900363	1.4202738952916638	nan	1.6419135182040943	0.7772595702079395	0.018014285351798488	1.8169971813906374	0.050528128990071	1.5266319293220363	-0.006720336416998766	1.446923653234134	-1.1496317731419636	-0.48242311792037795	0.9182746070140498	1.164972429545315	-1.1462318953681279	0.9956940807452876	0.5143631591319802	1.5882904172534085	0.05665574585056997	0.9502230325553657	nan	0.7892010360271158	1.194228300642796	1.2484510086466838	-0.8351836389871339	1.168953390888837	0.5979055890573353	-0.4219138979696112	1.057877257780895	1.877187566661312
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
0.7710139534199532	0.08159059236980962	1.5900083314925642	-0.03562891482553876	0.11343607898001365	1.330873262272053	1.7893926098898412	-1.0921977456039973	-0.8230180575369682	1.5827312540510659	0.557758712141935	1.614082222406229	0.015256006056772116	1.232136924922413	-0.16099870804441482	0.880145411379155	1.0796163032911594	0.6302469995106321	-1.2411222823756312	2.4641585985240235	-13.287712379549449	0.4228383112586907	0.42659476884947406	1.3621512852440558	0.02112231917268993	1.1885330910012089	nan	nan	-1.0060332061052872	1.3479841366739804	1.2639616754823781
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
1.6268822693003344	0.8691759520426601	0.8529987902363645	1.4405435137249594	0.3688773797127729	2.3213928451990737	0.9327279853833041	-0.11531050524040529	0.07908360329630611	0.3208609838637041	0.5294015602184245	nan	0.7073512954993111	1.8310740882505823	nan	0.6868898030491017	0.7854153418901824	0.29015654086668213	0.34295029510966046	-0.9848852730443698	2.0510426948705494	1.942332564805679	1.5693788362633352	1.144978681947387	1.2117458823545664	0.7743046641435996	0.5518440128776997	1.411309083184645	2.2134495457046173	2.6893629126179253	-1.1869163230457778
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
-0.13447268902398787	-0.7363143797571223	0.9314301189591587	0.7419929106634897	-0.5153169099901841	0.19431416573730972	0.10968012170506485	1.746859700650116	0.12391893435832178	2.29828072914292	-0.12214743271934793	1.6851924659952546	-0.9848852730443698	1.504736314660573	nan	1.5892895650517653	1.0278500169101623	-0.4961241538606191	1.44862507834369	0.5115677555862415	0.8290678559057914	0.4650969199601911	1.070901214560109	nan	1.2830466447400166	0.36155935095495906	0.38539621880493463	0.8639535729004768	0.19323259218647462	1.0917068867086681	1.437189841563621
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
1.467053296073294	1.0280575949120891	1.2367656896681023	1.110601381496123	-0.1727375034744537	-0.3806359286069759	nan	1.07262495789332	0.12635986638605323	4.118758235608516	1.9611079353502143	0.15972736056873693	0.5938118263549013	2.0510426948705494	1.428542626234007	0.3051278801336147	1.6703235680223458	0.5693993179636847	0.29977116770544354	-0.22713406905666758	nan	2.1837253576153297	0.3672336281525022	1.2156770263296994	1.4266765179279135	0.674836844166574	0.8715470701285468	0.7216007213082253	1.0340060600101324	-0.31871776222021175	-1.2559891644719925
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
0.8868915681662903	0.02735979221697928	-0.8610812491433742	-0.3806359286069759	0.11343607898001365	2.0149941402753693	-0.8230180575369682	0.513388932651857	nan	-13.287712379549449	3.7824186288571395	1.605308722421307	0.5679140807650807	1.504736314660573	0.46566260123459524	1.9817762579802845	0.13272135953496897	1.8228123366729438	-0.07512093079069457	-0.6813434948078769	0.9196358829439206	0.9675106512496421	nan	0.7533505175448103	-0.6222220732353563	1.1460558480186271	0.6196060187040942	-1.8921128287145899	1.1320623810661192	0.023649460468838788	0.8347557192947176
OG0001701.8	OG0004304.0	OG0000100.1	OG0017771.0	OG0000349.0	OG0001823.24	OG0000018.289	OG0001829.22	OG0000183.0	OG0001296.24	OG0000539.1	OG0000350.8	OG0004239.0	OG0045636.0	OG0001996.0	OG0007785.0	OG0013573.4	OG0005097.2	OG0044033.0	OG0000923.0	OG0000409.24	OG0000048.122	OG0002971.0	OG0006546.0	OG0009077.4	OG0005808.1	OG0020398.0	OG0006799.0	OG0000006.561	OG0003169.0	OG0005034.12
0.08850631782745363	0.7938939941477059	1.7146771170663186	0.215901801897554	0.7419929106634897	-0.08519813468265601	0.9574845896976967	0.288663979824028	0.9210535027066309	-0.6843061311762817	-0.2480237152417398	1.605308722421307	-0.2297112705411291	nan	0.3432734215622077	3.156084517823334	0.3367324873034342	1.4483051098062467	nan	1.5892895650517653	0.2542809654702797	-0.09661537444470816	0.9062613273821213	0.9896497720862085	1.2758417087863005	2.122472687028565	1.564508378702405	1.391964195992689	1.2639616754823781	0.7177462612611851	0.10635122678804076
OG0002761.0	OG0014849.0	OG0000109.0	OG0004961.2	OG0027675.0	OG0000279.0	OG0000265.0	OG0010125.0	OG0008128.0	OG0001550.0	OG0010995.2	OG0017155.5	OG0000318.0	OG0000011.1	OG0003329.0	OG0035637.0	OG0002946.0	OG0001347.26	OG0001667.0	OG0000702.24	OG0000884.25	OG0005222.2	OG0000671.12	OG0000431.12	OG0004964.6	OG0002185.6	OG0005687.4	OG0000006.561	OG0000112.0	OG0006611.0	OG0004968.14
1.4948746679950655	1.4516960195108282	1.0436532243607206	0.06273212869277048	1.0684482126244388	0.5294015602184245	-0.8230180575369682	0.9492106882455573	1.2271668553517483	-0.5689381067575634	-0.1434053349343481	nan	-0.16099870804441482	2.0510426948705494	1.0634952951771255	nan	0.4650969199601911	0.8092222024581007	0.32711309651502124	-1.6196339786507588	-0.8498112330888563	-0.8917660048691236	0.44808923282093993	0.9832660060264495	1.4303636360078058	0.7499979891861276	0.6388512942467307	1.2639616754823781	1.6167173122637506	2.2855209326705923	2.1149522981680025
OG0000245.24	OG0013512.2	OG0000738.19	OG0001000.24	OG0003012.0	OG0000320.0	OG0015290.0	OG0005465.0	OG0003944.0	OG0000411.0	OG0002222.0	OG0007722.2	OG0003326.0	OG0019023.0	OG0004806.29	OG0007822.0	OG0000060.0	OG0000026.45	OG0005817.0	OG0000905.14	OG0045490.0	OG0034790.0	OG0000483.0	OG0000435.0	OG0002298.4	OG0003890.6	OG0000204.2	OG0002822.4	OG0000779.1	OG0002938.0	OG0000012.918
1.6268822693003344	-0.09539531415853482	-0.0009122341416656238	0.7857456436006571	0.989392355702388	0.4278612776546661	-0.40938485392274737	0.8917713327633405	0.8108069817435165	-0.7697713354445754	-0.15740493081156118	1.4542545908265874	1.1558928565504953	1.5225952061556558	1.4373515157721024	1.265746297160299	1.468594828831307	1.504736314660573	1.9885794288747842	-1.0492056317245635	nan	nan	0.7743046641435996	1.4282583062446856	1.1261311507650111	0.8519888841900278	0.15919489252289842	1.0952166648179977	-0.22757889109716084	0.5915863346073167	1.368747872415985
