OG0000119.0	OG0005996.10	OG0005056.1	OG0000236.1	OG0003860.1	OG0000206.0	OG0020019.0	OG0006158.4	OG0012897.4	OG0006752.0	OG0007639.25	OG0000213.256	OG0000098.0	OG0011985.2	OG0001607.2	OG0008342.0	OG0000751.0	OG0044466.0	OG0003342.16	OG0000551.2	OG0007639.5	OG0002309.26	OG0000236.122	OG0007127.0	OG0000264.1	OG0005266.0	OG0005326.0	OG0008341.0	OG0001844.24	OG0009857.2	OG0012896.0	OG0029057.0	OG0000318.0	OG0004205.0	OG0002590.0	OG0003991.2	OG0008335.19	OG0000456.0	OG0000236.19	OG0005400.0	OG0000833.0	OG0016785.2	OG0013218.3	OG0000320.0	OG0000324.0	OG0053812.0	OG0002988.0	OG0004314.0	OG0019212.0	OG0005741.0	OG0015105.0	OG0000834.15	OG0000834.30	OG0004135.0	OG0007845.0	OG0000920.27	OG0002488.24	OG0014302.8	OG0001764.0	OG0004226.0	OG0006225.0	OG0014817.2	OG0029060.0	OG0000213.17	OG0014065.0
257.3956	2.980166	1.152773	2.486406	nan	10.23585	nan	3.7218269999999998	3.705634	215.1876	1.0232459999999999	1.614849	5.996299	3.379717	3.4910080000000003	221.0128	3.402273	247.4829	1.976898	1.294985	3.7009489999999996	4.488112	3.1902790000000003	1.499148	2.5234229999999997	2.695657	3.760737	3.1057639999999997	1.8773509999999998	3.719811	3.3908080000000003	3.251184	1.830582	1.495903	nan	1.680507	1.6509650000000002	3.7339510000000002	258.0555	2.1926349999999997	3.258302	1.799359	4.657863	263.9051	44.89167	2.822412	2.002351	3.37716	1.456849	1.3116649999999999	3.3561940000000003	1.435397	2.67899	1.4623709999999999	1.4413209999999999	nan	2.631455	1.501863	216.1392	171.1197	255.8646	166.6091	2.289609	1.56155	1.9192049999999998
OG0027446.0	OG0002054.0	OG0008699.6	OG0007491.0	OG0008456.0	OG0000967.4	OG0046646.0	OG0048866.0	OG0046559.0	OG0006068.0	OG0024454.0	OG0028170.0	OG0046918.0	OG0023208.0	OG0016932.4	OG0056819.0	OG0001056.26	OG0053883.0	OG0001146.1	OG0046393.0	OG0010818.3	OG0028872.0	OG0009812.0	OG0001474.0	OG0003181.15	OG0026973.0	OG0049173.0	OG0024598.0	OG0011954.3	OG0018191.6	OG0012536.0	OG0053815.0	OG0002069.0	OG0003147.0	OG0007773.2	OG0038680.0	OG0034473.0	OG0018434.3	OG0046072.0	OG0016686.7	OG0014616.0	OG0004031.26	OG0041781.0	OG0002440.16	OG0000608.0	OG0016433.4	OG0047363.0	OG0057571.0	OG0015729.7	OG0018359.4	OG0028459.0	OG0047077.0	OG0020566.0	OG0000047.2	OG0004798.0	OG0041673.0	OG0015212.3	OG0016652.4	OG0019531.0	OG0021648.0	OG0001333.24	OG0001943.0	OG0015388.2	OG0017399.3	OG0012865.13
1.491183	nan	4.649036	145.6262	1.733895	nan	267.884	2.359441	267.3202	6.164041	2.69323	3.784222	258.4942	2.755815	1.122156	2.641145	2.58563	2.6834599999999997	nan	251.9041	2.7078759999999997	2.6185709999999998	7.4027460000000005	2.421296	12.71838	3.279789	2.370104	3.043872	3.136915	2.549266	3.1902790000000003	2.630722	nan	25.90007	9.277762	3.4178029999999997	1.299159	1.450502	259.3552	257.9599	1.139362	3.4121980000000005	3.272585	11.61899	nan	3.073589	3.375271	2.365024	2.4874549999999997	1.097731	1.09007	3.346168	2.023125	nan	2.712226	3.288615	3.001259	2.627605	2.850006	1.456609	nan	nan	1.587246	2.54557	259.939
OG0000160.4	OG0045340.0	OG0007642.2	OG0011005.1	OG0004895.0	OG0002108.0	OG0006220.13	OG0012903.2	OG0009069.4	OG0043556.0	OG0008321.0	OG0012990.0	OG0046775.0	OG0003408.0	OG0027826.0	OG0016800.2	OG0028848.0	OG0020818.0	OG0013225.2	OG0000600.151	OG0018772.6	OG0046772.0	OG0027443.0	OG0035581.0	OG0046612.0	OG0016661.3	OG0014029.8	OG0000829.5	OG0047049.0	OG0035551.0	OG0006890.0	OG0001480.22	OG0002261.32	OG0014627.8	OG0021271.0	OG0024983.0	OG0043922.0	OG0012879.6	OG0045546.0	OG0009796.0	OG0029039.0	OG0004150.0	OG0044375.0	OG0007219.4	OG0007310.0	OG0007468.0	OG0030139.0	OG0001335.24	OG0002026.0	OG0060544.0	OG0005175.0	OG0000394.176	OG0009952.5	OG0016838.2	OG0019120.5	OG0010639.2	OG0002462.10	OG0004649.2	OG0044658.0	OG0007559.0	OG0026325.0	OG0002675.15	OG0008515.4	OG0001827.0	OG0020938.0
3.111616	261.7017	4.6497910000000005	1.7329080000000001	168.2242	nan	3.719811	2.8275740000000003	4.655377	1.499309	185.4026	1.008561	250.7745	45.83852	258.0586	2.07816	2.606916	3.336672	1.3069600000000001	3.368638	3.2547200000000003	266.7248	1.496486	2.7706009999999996	251.9393	3.455977	1.377895	nan	3.3488019999999996	2.878923	218.2099	nan	13.976989999999999	3.099137	2.134837	1.283255	2.758677	2.968232	257.9122	0.5260978000000001	3.7118830000000003	28.24632	1.448592	1.261755	211.4263	0.7210703	2.680812	nan	nan	1.498497	168.5221	2.081624	2.441706	3.414769	2.645812	2.901567	2.242393	10.85447	1.84519	4.6558269999999995	3.361504	2.904156	2.261778	0.8284019	2.691807
OG0047132.0	OG0003392.0	OG0034478.0	OG0009970.2	OG0045651.0	OG0002228.0	OG0014810.0	OG0027912.0	OG0007806.7	OG0018840.3	OG0004632.0	OG0001613.24	OG0054094.0	OG0044270.0	OG0021607.0	OG0006501.0	OG0012399.2	OG0027754.0	OG0011874.16	OG0056896.0	OG0009864.16	OG0014687.1	OG0057146.0	OG0008446.0	OG0005961.0	OG0000331.36	OG0049137.0	OG0026984.0	OG0015682.1	OG0018378.2	OG0046160.0	OG0047010.0	OG0012342.2	OG0034891.0	OG0005800.0	OG0012320.0	OG0019266.0	OG0002388.0	OG0015857.4	OG0010989.14	OG0038019.0	OG0047487.0	OG0004679.0	OG0041754.0	OG0009451.3	OG0001255.26	OG0000549.1	OG0003771.0	OG0057379.0	OG0015004.6	OG0004960.0	OG0057118.0	OG0046351.0	OG0019005.1	OG0025876.0	OG0002473.24	OG0016000.4	OG0005158.0	OG0034294.0	OG0019236.0	OG0022477.0	OG0002814.39	OG0027772.0	OG0045318.0	OG0013344.4
3.332375	1.723027	1.309295	1.13404	260.9081	1.463865	5.620786	3.4085699999999997	0.9520134	3.240725	19.815	2.119516	2.598402	2.365339	2.868281	217.6685	2.825376	265.0456	258.1981	2.7004740000000003	2.99389	8.135869	1.502631	2.652578	3.94021	1.4469889999999999	2.350914	3.285046	3.381996	3.776294	253.753	3.398914	4.59047	2.225018	2.581083	1.602739	1.4456879999999999	4.357106	nan	2.257603	2.679802	3.354375	9.752179	3.261014	265.1593	nan	1.9784080000000002	53.30494	2.88028	69.30216	5.607825	1.492016	259.2991	1.804978	1.864438	219.5819	2.412753	0.7467294	1.287981	1.438776	2.374211	8.969297000000001	258.4146	266.7806	3.305443
OG0020749.0	OG0014557.8	OG0044747.0	OG0009845.0	OG0000610.0	OG0013519.0	OG0026949.0	OG0002931.1	OG0060396.0	OG0046264.0	OG0018799.3	OG0009193.0	OG0024538.0	OG0000343.0	OG0006557.0	OG0029576.0	OG0000412.1	OG0044317.0	OG0012099.0	OG0046299.0	OG0005462.2	OG0014524.2	OG0000615.1	OG0007718.2	OG0043849.0	OG0047969.0	OG0027042.0	OG0002907.5	OG0002553.2	OG0004774.1	OG0022580.0	OG0047492.0	OG0001578.0	OG0021911.0	OG0035007.0	OG0045470.0	OG0003821.20	OG0013311.4	OG0035709.0	OG0006457.2	OG0016031.0	OG0019987.0	OG0043650.0	OG0018015.0	OG0022753.0	OG0018898.1	OG0001207.24	OG0043935.0	OG0007942.0	OG0005584.0	OG0044660.0	OG0004576.6	OG0004597.2	OG0045685.0	OG0008512.0	OG0008299.8	OG0028135.0	OG0005112.6	OG0057459.0	OG0001398.24	OG0007507.0	OG0057423.0	OG0016057.0	OG0020602.0	OG0025141.0
2.391578	1.100049	1.855566	2.100491	1.309425	1.224425	3.263201	1.953489	1.52989	257.3357	3.275757	5.434723	3.011477	nan	213.0571	1.441135	6.859852	2.8921069999999998	2.697532	264.3505	3.135537	1.687268	1.3976540000000002	9.126699	2.4723759999999997	3.7636769999999995	1.876752	9.519078	6.060708999999999	13.95147	2.496162	3.3550169999999997	2.1345110000000003	1.445864	2.229269	265.0806	1.485739	3.7550830000000004	1.299535	3.5833169999999996	1.083601	1.4627299999999999	1.511484	5.625913	1.441144	1.614117	nan	2.636048	5.29115	4.037146	1.867918	2.8625849999999997	nan	262.3363	1.190076	3.739961	3.7606660000000005	1.9944939999999998	2.755413	nan	3.633406	2.476434	1.159361	1.646829	1.31359
OG0007064.16	OG0045448.0	OG0046664.0	OG0007516.0	OG0002586.25	OG0001320.26	OG0012779.2	OG0005728.0	OG0047199.0	OG0022421.0	OG0023002.0	OG0015817.7	OG0016444.1	OG0035644.0	OG0001796.6	OG0056973.0	OG0007680.12	OG0017143.5	OG0017637.2	OG0006430.3	OG0004154.30	OG0046948.0	OG0001961.2	OG0024646.0	OG0014988.0	OG0002914.0	OG0014695.4	OG0041541.0	OG0008091.0	OG0008671.0	OG0034699.0	OG0002691.92	OG0030150.0	OG0011493.6	OG0028106.0	OG0019044.4	OG0016849.4	OG0006090.0	OG0005016.1	OG0008068.0	OG0053909.0	OG0000606.2	OG0007150.0	OG0019771.0	OG0046074.0	OG0014782.0	OG0034540.0	OG0019377.0	OG0003163.26	OG0006291.0	OG0008339.0	OG0020514.0	OG0001349.1	OG0035839.0	OG0002295.9	OG0044759.0	OG0016204.2	OG0035765.0	OG0004025.11	OG0019407.0	OG0006776.0	OG0002185.6	OG0009893.3	OG0002530.5	OG0044593.0
