OG0000011.866	OG0002682.12	OG0015299.0	OG0000663.26	OG0000074.152	OG0011454.0	OG0003630.6	OG0000318.0	OG0002211.0	OG0006328.0	OG0006859.2	OG0000350.8	OG0007546.0	OG0002486.16	OG0006802.11	OG0000584.0	OG0000127.0	OG0004437.0	OG0003155.34
nan	2.171065	2.406029	nan	1.598608	nan	2.466766	nan	nan	187.5131	3.271936	1.404703	3.006128	28.460390000000004	2.004932	nan	nan	117.5564	1.938523
OG0002954.0	OG0000310.18	OG0001557.1	OG0004226.0	OG0006642.0	OG0000010.64	OG0004989.0	OG0011211.0	OG0005109.6	OG0002009.0	OG0000349.0	OG0002448.22	OG0003197.4	OG0004238.6	OG0005057.0	OG0000027.457	OG0002768.0	OG0000302.34	OG0000753.0
28.24649	nan	21.40628	0.8604552	nan	nan	45.42072	0.6474976	5.687236	nan	2.254695	12.28026	20.78047	1.384279	2.760657	nan	0.3334472	nan	nan
OG0004326.0	OG0000700.36	OG0003073.0	OG0000100.1	OG0001301.24	OG0004113.4	OG0007309.0	OG0000169.16	OG0000338.41	OG0002449.21	OG0012206.0	OG0000121.128	OG0000857.0	OG0009061.6	OG0007555.0	OG0005939.0	OG0006414.0	OG0000002.1788	OG0000239.0
0.48036670000000004	nan	22.6773	nan	nan	1.834727	218.352	1.320063	nan	1.52106	1.02541	3.155518	26.167939999999998	2.408923	1.235042	2.2197810000000002	2.231816	nan	nan
OG0009779.2	OG0006236.0	OG0007778.4	OG0005266.0	OG0004694.0	OG0000616.40	OG0004460.9	OG0002185.6	OG0000318.0	OG0001155.24	OG0004737.6	OG0005099.0	OG0000121.128	OG0000035.64	OG0004569.0	OG0000142.14	OG0003459.2	OG0000039.0	OG0000431.12
20.08833	26.224040000000002	1.013477	1.5427620000000002	9.863755000000001	nan	2.468181	1.985132	nan	nan	7.181531	1.9374310000000001	3.155518	nan	0.8936914	4.598162	nan	nan	nan
OG0003521.2	OG0000231.0	OG0009811.0	OG0000100.1	OG0000090.24	OG0000187.1	OG0003630.6	OG0000009.921	OG0006577.0	OG0011881.8	OG0005229.4	OG0004960.0	OG0000121.128	OG0001030.26	OG0000857.0	OG0000658.0	OG0002939.24	OG0003505.8	OG0007494.0
21.496170000000003	nan	nan	nan	1.567615	nan	2.466766	nan	213.9371	1.024325	9.104336	5.532083999999999	3.155518	nan	26.167939999999998	nan	10.26835	1.453855	1.294814
OG0005479.0	OG0001409.1	OG0002260.4	OG0004183.0	OG0004580.6	OG0000343.0	OG0000451.0	OG0000200.0	OG0000246.0	OG0000349.0	OG0001785.1	OG0005438.0	OG0005184.0	OG0000699.1	OG0007825.2	OG0006513.0	OG0006820.0	OG0000102.0	OG0000039.0
nan	nan	nan	14.53775	19.298820000000003	4.3776980000000005	1.734186	1.051104	nan	2.254695	2.5362560000000003	8.6354	3.9349220000000003	nan	1.121779	219.8224	2.475654	nan	nan
OG0012767.2	OG0000483.0	OG0000480.64	OG0004326.0	OG0007208.0	OG0000007.3	OG0005315.0	OG0001656.2	OG0005640.2	OG0000032.252	OG0000349.0	OG0000411.0	OG0000779.1	OG0000442.2	OG0000042.314	OG0004560.0	OG0017937.0	OG0005856.2	OG0010757.0
1.898448	1.9172209999999998	nan	0.48036670000000004	5.843355	nan	2.658212	5.753432	0.24367039999999998	nan	2.254695	nan	14.02145	4.111063	nan	9.102578	1.391765	0.7715914	4.615461
OG0001610.50	OG0000575.28	OG0005222.2	OG0001656.2	OG0004565.2	OG0012686.0	OG0000616.40	OG0000486.2	OG0001701.8	OG0004469.6	OG0010723.0	OG0000269.0	OG0005892.2	OG0000350.8	OG0000088.3	OG0005184.0	OG0000027.457	OG0006625.0	OG0002132.0
0.564844	218.6506	0.8298646000000001	5.753432	9.92426	7.24574	nan	2.731414	nan	11.70417	4.584441	nan	113.094	1.404703	nan	3.9349220000000003	nan	217.0865	nan
