-3.313297789743922	-2.5145731728297585	nan	-0.46494240510515766	-0.6137408588666539	nan	-0.7152489904657735	nan	-1.361045750202166	nan
OG0008354.0	OG0002629.7	OG0027492.0	OG0026920.0	OG0041515.0	OG0014093.9	OG0007589.18	OG0029026.0	OG0043407.0	OG0029178.0
-1.6817699399240815	0.055334501751099704	nan	nan	nan	nan	-1.5043048373759311	nan	nan	nan
OG0028296.0	OG0057310.0	OG0002200.3	OG0007142.4	OG0019034.5	OG0024444.0	OG0006967.13	OG0014659.1	OG0006304.2	OG0027512.0
nan	nan	nan	-2.206228941455776	nan	nan	-1.9495331296493383	-0.6975932054422741	-2.8666995237702237	nan
OG0056616.0	OG0017484.2	OG0011300.1	OG0003801.0	OG0014825.1	OG0011720.2	OG0027847.0	OG0005439.4	OG0046175.0	OG0007235.10
nan	-1.8927138650477777	-2.0174170530774096	-1.0436459153546316	nan	-0.6594946993260151	nan	-1.5116906642966368	nan	nan
OG0002688.0	OG0018896.0	OG0020412.0	OG0038826.0	OG0014047.2	OG0060466.0	OG0044550.0	OG0026942.0	OG0006421.0	OG0011493.6
-0.0015878380160818104	-1.2722973271627618	nan	nan	0.39845982712238304	nan	nan	-1.400110955040741	-0.9722797416440726	nan
OG0007876.21	OG0001156.1	OG0056834.0	OG0027883.0	OG0045317.0	OG0017433.3	OG0005083.0	OG0006574.0	OG0027428.0	OG0027630.0
nan	-0.7888631730177249	nan	nan	nan	nan	-0.7560872411268253	-1.2646511298141148	nan	nan
OG0008553.0	OG0020238.0	OG0001447.24	OG0034893.0	OG0038663.0	OG0009194.1	OG0000501.29	OG0009269.4	OG0000251.0	OG0025433.0
-0.7968615028091515	nan	-0.43869830585463065	nan	nan	-1.6073528560357366	-1.1143475487004126	-0.6281623826695795	0.5686158767137826	nan
OG0025815.0	OG0001619.0	OG0054087.0	OG0004006.0	OG0019599.0	OG0013096.0	OG0000569.0	OG0046515.0	OG0014845.2	OG0007477.8
nan	-0.848141183272995	nan	-1.6214883767462702	nan	-1.865647613376637	-0.3107903116983698	nan	-0.8685422145209122	-1.8709148519433896
OG0004344.0	OG0006965.6	OG0013784.3	OG0047079.0	OG0000048.38	OG0013466.11	OG0056670.0	OG0007766.0	OG0046745.0	OG0003459.2
-1.2498222944069428	-1.8099541131055612	nan	nan	nan	nan	nan	-1.6882643980207304	nan	-0.11044858129598112
OG0046613.0	OG0000129.29	OG0018172.6	OG0004049.8	OG0035539.0	OG0014809.3	OG0000728.24	OG0012055.0	OG0030064.0	OG0019062.1
nan	1.477211031198532	nan	-0.7831416402250396	nan	-1.101907764440992	-0.2368434162587132	-1.454426943964968	nan	nan
OG0056516.0	OG0018390.2	OG0003201.2	OG0013176.12	OG0027245.0	OG0016536.5	OG0037827.0	OG0056650.0	OG0047413.0	OG0001216.24
nan	-1.7379277116015897	-0.5741110659756957	nan	nan	nan	nan	nan	nan	-1.049904905826314
OG0057452.0	OG0045970.0	OG0012298.11	OG0044024.0	OG0012449.12	OG0045053.0	OG0000381.0	OG0006761.1	OG0028196.0	OG0004224.40
nan	nan	nan	nan	nan	nan	-0.46136251482935686	-1.7509794897140352	nan	nan
OG0018165.3	OG0003484.0	OG0011910.0	OG0054122.0	OG0045827.0	OG0009220.12	OG0020455.0	OG0002823.0	OG0046950.0	OG0057447.0
nan	-1.0840584940198523	-1.817053505488898	nan	nan	-2.091110253026279	-1.5538496598709068	-0.82316662921551	nan	nan
OG0004842.6	OG0002645.26	OG0007119.0	OG0025813.0	OG0002344.12	OG0021986.0	OG0044265.0	OG0044004.0	OG0034564.0	OG0004219.22
-2.5403585500713883	-0.8160371651574051	-1.9994230373684796	nan	-0.6975932054422741	nan	nan	nan	nan	-2.1134108350818184
OG0018994.0	OG0007430.2	OG0003909.0	OG0005464.0	OG0004532.24	OG0004002.0	OG0035601.0	OG0014821.10	OG0022861.0	OG0046398.0
nan	-1.3658714424749592	-0.23293850231951113	-2.0226834370912896	-1.4623560380701153	-1.9285118944158177	nan	nan	nan	nan
OG0002574.1	OG0011408.2	OG0007190.6	OG0047418.0	OG0005926.0	OG0056842.0	OG0046651.0	OG0014875.2	OG0011626.5	OG0014769.1
