OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0001566.2
0.15399549999999998	1.1306889999999998	nan	nan	nan	nan	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0000409.24	OG0000704.0	OG0004027.1
nan	nan	nan	0.8001282	nan	nan	26.34103
OG0000606.2	OG0000001.1420	OG0001191.24	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
nan	nan	nan	1.331475	5.701112999999999	nan	nan	nan
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0000263.57	OG0004807.4	OG0002138.0
nan	nan	1.1874959999999999	nan	nan	8.474592	nan
OG0001734.7	OG0000056.0	OG0003610.0	OG0010606.0	OG0000044.1	OG0001402.24	OG0000512.25
nan	nan	2.647946	nan	nan	nan	nan
OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
nan	nan	nan	1.067676	2.648879	nan	nan	nan
OG0000405.0	OG0007565.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
nan	3.5331949999999996	5.298931	nan	nan	nan	nan	nan
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0000126.1
2.534877	nan	nan	nan	nan	1.2147299999999999	0.7017119	nan
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0006410.0	OG0000092.1
nan	nan	nan	1.07493	nan	3.364321	4.053971	nan
OG0000764.26	OG0007070.2	OG0001163.24	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
nan	26.920820000000003	nan	nan	nan	nan	4.91478
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0002127.0	OG0000175.4	OG0005354.1	OG0001941.0
nan	1.026478	nan	8.160049	nan	nan	13.991420000000002	nan
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0000918.1
nan	nan	nan	1.2303	8.116401	nan	4.138489	nan
OG0000537.8	OG0000006.561	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
nan	nan	nan	4.462955	0.9645456	nan	2.840195	nan
OG0001203.24	OG0011159.0	OG0000209.2	OG0014662.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
nan	54.76209	nan	8.038734	nan	nan	nan	3.323058
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0000272.36	OG0000524.1
nan	nan	0.9280961	1.419009	nan	5.283345	nan	nan
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0004168.24	OG0007187.0
1.725481	nan	nan	nan	nan	nan	14.00419	3.9188419999999997
OG0004256.2	OG0000032.252	OG0001243.24	OG0010631.0	OG0000711.2	OG0002113.0	OG0000611.0
2.4867209999999997	nan	nan	2.709264	nan	nan	nan
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0000209.146	OG0000154.2	OG0008258.0
185.31799999999998	nan	2.57999	nan	nan	nan	nan	5.656147
OG0001161.24	OG0000088.3	OG0008204.0	OG0007348.0	OG0001502.26	OG0001146.1	OG0000082.1
nan	nan	146.309	3.60848	nan	nan	nan
OG0007549.0	OG0000006.561	OG0001813.8	OG0000463.51	OG0000290.0	OG0014542.4	OG0001167.24	OG0006963.0
3.07361	nan	nan	nan	nan	8.009424000000001	nan	27.94782
OG0001366.26	OG0000011.1	OG0009024.0	OG0004459.0	OG0002127.0	OG0000046.1	OG0016933.0	OG0001770.0
nan	nan	4.453042	0.1231517	nan	nan	2.611069	nan
OG0000001.1420	OG0000909.26	OG0001075.1	OG0009869.0	OG0000125.49	OG0008061.3	OG0005701.4	OG0000771.24
nan	nan	nan	3.255187	nan	8.080262	2.665883	nan
OG0006231.0	OG0001238.24	OG0000359.28	OG0002073.0	OG0013912.6	OG0001275.26	OG0006392.0	OG0000082.1
3.8114769999999996	nan	nan	nan	3.370401	nan	2.337082	nan
OG0001405.24	OG0001592.24	OG0001226.24	OG0003661.0	OG0004285.1	OG0006579.6	OG0000407.1	OG0000018.289
nan	nan	nan	95.4282	13.951220000000001	5.543413	nan	nan
OG0000054.0	OG0000364.1	OG0000004.778	OG0004609.0	OG0002214.0	OG0008497.0	OG0000892.1	OG0001048.24
nan	nan	4.567754	0.8027178	nan	1.981526	nan	nan
OG0000548.29	OG0000257.0	OG0000012.918	OG0008209.0	OG0001459.24	OG0005027.0	OG0001540.26	OG0020416.0
nan	nan	nan	3.5174309999999998	nan	nan	nan	3.3633620000000004
