OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
1.0	1.0	2.0	1.0	6.0	26.0	1.0	1.0	6.0	1.0	1.0	1.0	1.0	2.0	1.0	4.0	2.0	1.0	1.0	2.0	4.0	2.0	3.0	5.0	1.0	4.0	5.0	1.0	27.0	1.0	1.0	7.0	1.0	2.0	6.0	3.0	1.0	6.0	5.0	8.0	1.0	10.0	5.0	4.0	2.0	5.0	1.0	4.0	16.0	5.0	2.0	1.0	1.0	7.0	5.0
OG0002562.0	OG0047036.0	OG0060350.0	OG0011667.0	OG0044752.0	OG0038842.0	OG0035697.0	OG0006583.0	OG0014335.9	OG0017149.4	OG0047575.0	OG0045938.0	OG0044656.0	OG0044647.0	OG0012925.0	OG0019666.0	OG0045065.0	OG0024380.0	OG0057351.0	OG0012511.6	OG0012134.2	OG0057431.0	OG0004138.22	OG0014873.2	OG0000204.2	OG0045167.0	OG0013491.2	OG0008287.4	OG0048970.0	OG0006674.0	OG0027922.0	OG0010011.10	OG0021199.0	OG0003907.2	OG0053921.0	OG0001250.26	OG0023345.0	OG0002499.1	OG0014899.1	OG0035703.0	OG0045572.0	OG0000147.0	OG0012473.4	OG0046092.0	OG0005540.38	OG0009183.0	OG0025681.0	OG0009133.1	OG0000259.0	OG0005076.4	OG0044033.0	OG0046315.0	OG0001931.1	OG0002311.24	OG0012468.4
12.0	1.0	1.0	2.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	4.0	1.0	5.0	1.0	27.0	1.0	3.0	3.0	1.0	3.0	1.0	1.0	1.0	19.0	1.0	26.0	1.0	1.0	1.0	1.0	1.0	27.0	2.0	1.0	2.0	3.0	1.0	6.0	14.0	8.0	1.0	1.0	2.0	14.0	2.0
OG0009211.2	OG0028203.0	OG0003491.0	OG0002676.13	OG0027917.0	OG0047158.0	OG0034861.0	OG0057126.0	OG0000386.0	OG0013196.4	OG0048100.0	OG0053972.0	OG0003236.6	OG0048013.0	OG0018461.0	OG0001744.0	OG0060544.0	OG0038932.0	OG0005701.4	OG0045666.0	OG0021274.0	OG0023150.0	OG0017757.5	OG0046862.0	OG0008473.4	OG0011885.0	OG0015070.1	OG0002209.38	OG0044703.0	OG0010152.9	OG0025790.0	OG0048884.0	OG0005821.22	OG0027820.0	OG0015774.5	OG0045157.0	OG0038165.0	OG0034481.0	OG0001557.130	OG0016469.2	OG0014620.0	OG0002597.0	OG0015288.8	OG0057195.0	OG0010685.0	OG0045486.0	OG0018815.2	OG0007093.3	OG0013901.3	OG0012420.0	OG0041779.0	OG0010861.0	OG0003718.0	OG0013047.0	OG0013647.7
3.0	1.0	21.0	1.0	1.0	1.0	1.0	1.0	27.0	1.0	1.0	1.0	16.0	1.0	2.0	16.0	1.0	1.0	11.0	1.0	2.0	1.0	1.0	1.0	4.0	3.0	2.0	22.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	5.0	14.0	1.0	1.0	8.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	18.0	3.0	2.0
OG0015707.6	OG0056793.0	OG0010018.0	OG0000260.188	OG0024602.0	OG0002887.0	OG0018840.1	OG0041571.0	OG0003727.2	OG0002418.9	OG0053774.0	OG0000120.1	OG0021394.0	OG0005500.2	OG0001822.12	OG0007451.0	OG0049146.0	OG0038110.0	OG0057173.0	OG0002405.6	OG0046531.0	OG0002900.21	OG0011297.6	OG0045043.0	OG0017198.1	OG0047470.0	OG0008555.0	OG0029041.0	OG0046423.0	OG0043832.0	OG0056848.0	OG0015625.5	OG0016756.0	OG0011497.1	OG0018185.0	OG0041742.0	OG0002539.0	OG0005605.0	OG0047344.0	OG0004264.1	OG0000311.0	OG0000185.5	OG0019453.0	OG0011366.6	OG0057414.0	OG0008959.12	OG0044324.0	OG0005595.3	OG0046619.0	OG0025000.0	OG0047190.0	OG0004240.0	OG0024527.0	OG0001817.10	OG0007399.0
2.0	1.0	3.0	4.0	2.0	22.0	1.0	1.0	18.0	21.0	1.0	1.0	3.0	5.0	16.0	5.0	1.0	1.0	1.0	23.0	1.0	9.0	3.0	1.0	1.0	1.0	9.0	2.0	1.0	1.0	1.0	1.0	2.0	4.0	1.0	1.0	22.0	3.0	1.0	2.0	21.0	26.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	11.0	2.0	25.0	9.0
OG0010114.3	OG0012056.0	OG0013216.0	OG0025873.0	OG0024624.0	OG0020581.0	OG0005311.3	OG0022910.0	OG0019291.0	OG0001597.53	OG0046947.0	OG0018186.0	OG0024586.0	OG0015020.8	OG0002449.21	OG0010124.11	OG0005748.0	OG0003591.0	OG0004815.0	OG0000336.0	OG0018427.0	OG0000648.41	OG0027666.0	OG0005988.0	OG0015768.3	OG0012048.9	OG0018482.0	OG0020456.0	OG0027811.0	OG0016199.2	OG0007245.0	OG0007784.2	OG0009242.4	OG0012430.12	OG0019215.0	OG0006569.0	OG0005038.2	OG0047601.0	OG0043584.0	OG0048914.0	OG0004627.2	OG0011217.1	OG0009891.7	OG0014744.4	OG0004443.0	OG0028208.0	OG0022287.0	OG0060485.0	OG0003534.3	OG0014631.1	OG0002597.0	OG0002665.8	OG0011135.0	OG0048178.0	OG0003368.4
2.0	4.0	2.0	1.0	1.0	1.0	17.0	1.0	1.0	11.0	1.0	2.0	2.0	2.0	17.0	1.0	5.0	20.0	10.0	27.0	2.0	24.0	2.0	5.0	1.0	1.0	3.0	3.0	1.0	3.0	4.0	6.0	3.0	1.0	2.0	2.0	6.0	1.0	1.0	1.0	14.0	1.0	1.0	3.0	18.0	1.0	1.0	1.0	8.0	3.0	14.0	21.0	3.0	1.0	21.0
OG0003608.2	OG0045118.0	OG0057161.0	OG0007133.1	OG0006600.2	OG0043693.0	OG0037774.0	OG0005617.0	OG0045886.0	OG0003838.7	OG0044686.0	OG0007917.0	OG0045561.0	OG0014651.4	OG0005494.2	OG0044878.0	OG0019440.0	OG0017919.2	OG0018382.0	OG0015420.1	OG0000712.4	OG0013208.8	OG0007712.0	OG0035711.0	OG0006692.0	OG0057213.0	OG0024574.0	OG0034535.0	OG0002498.2	OG0043455.0	OG0011693.2	OG0028044.0	OG0015717.8	OG0006178.4	OG0003071.0	OG0049183.0	OG0044694.0	OG0025077.0	OG0037703.0	OG0016755.0	OG0002197.0	OG0045407.0	OG0056700.0	OG0034810.0	OG0009802.1	OG0014703.0	OG0005854.2	OG0002382.29	OG0026528.0	OG0045673.0	OG0004913.2	OG0028103.0	OG0012846.2	OG0006480.0	OG0022172.0
